source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,district_cluster,is_synthetic,augmentation_copy
1k,13500000.0,40.0,1.0,4.0,6.0,"москва, ул. домодедовская, 4",55.616005,37.703218,Орехово,7.0,10.0,unknown,монолитные,2020.0,2.64,не угловая,пассажирский,4,двор,unknown,нет,https://msk.etagi.com/realty/12558297/,raw,0.62,geo_recomputed,16.11,3.14,0.36,0.14,0.41,0.28,337500.0,0.6666666666666666,6.0,1.0,20,0,0
all-vyhino-zhulebino,18000000.0,38.8,0.0,5.0,24.0,"москва, ул. привольная, 56 (16 км до центра)",55.684138,37.840732,Жулебино,11.0,20.0,unknown,монолитно-кирпичный,1992.0,2.64,не угловая,"пассажирский, грузовой",56,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12150781/,raw,0.95,geo_recomputed,16.0,0.55,0.45,0.42,0.43,0.59,463917.5257731959,0.2083333333333333,34.0,1.0,4,0,0
studio,10500000.0,27.8,0.0,8.0,15.0,"сдэк, 3, улица василия ощепкова, жк «москвичка», район коммунарка, москва, центральный федеральный округ, 108814, россия",55.554634,37.465182,Новомосковская (Коммунарка),7.0,8.0,евроремонт,монолитно-кирпичный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10484738/,geo,0.61,geo_recomputed,23.91,5.46,0.18,0.18,1.26,0.99,377697.8417266187,0.5333333333333333,24.0,1.0,12,0,0
4k,148442000.0,140.0,4.0,22.0,28.0,"москва, ул. академика королёва, 21 (7 км до центра)",55.819909,37.60231,Останкино,4.0,40.0,ремонт по дизайн-проекту,монолитно-кирпичный,2002.0,2.64,не угловая,"пассажирский, грузовой",21,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/10890536/,raw,0.31,geo_recomputed,7.57,8.98,0.51,0.42,0.54,0.52,1060300.0,0.7857142857142857,24.0,1.0,19,0,0
all,69900000.0,123.0,3.0,11.0,21.0,"москва, ул. проспект вернадского, 92к1",55.654838,37.476258,Юго-Западная,12.0,16.5,unknown,монолитные,2007.0,3.0,не угловая,"грузовой, пассажирский, пассажирский и грузовой",92к1,двор,"наземный паркинг, подземный паркинг, парковка во дворе, гостевой паркинг",нет,https://msk.etagi.com/realty/12181606/,raw,1.01,geo_recomputed,13.91,1.84,0.41,0.48,0.41,0.27,568292.6829268293,0.5238095238095238,19.0,1.0,9,0,0
all-alekseevskii,19100000.0,47.0,2.0,9.0,14.0,"москва, ул. космонавтов, 8к2",55.82048,37.65002,ВДНХ,7.0,9.0,косметический ремонт,панельные,1970.0,2.64,не угловая,пассажирский,8к2,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12090035/,raw,0.59,geo_recomputed,7.89,8.29,0.25,0.29,0.61,0.33,406382.97872340423,0.6428571428571429,56.0,1.0,19,0,0
all-obruchevskii,35000000.0,78.9,2.0,15.0,16.0,"москва, ул. академика опарина, 4к1 (17 км до центра)",55.647087,37.503073,Университет дружбы народов,4.0,13.5,евроремонт,панельные,2011.0,2.68,не угловая,unknown,4к1,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12564419/,raw,0.31,geo_recomputed,13.65,2.77,0.32,0.06,0.32,0.32,443599.4930291508,0.9375,15.0,1.0,9,0,0
all,18990000.0,40.0,1.0,2.0,6.0,"москва, ул. берзарина, 12",55.787872,37.489266,Октябрьское поле,8.0,9.0,косметический ремонт,кирпичные,2013.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11970472/,raw,0.68,geo_recomputed,8.84,6.7,0.73,0.23,0.36,0.16,474750.0,0.3333333333333333,13.0,1.0,10,0,0
all-severnoe-tushino,17770000.0,44.3,2.0,3.0,12.0,"москва, ул. свободы, 81с5 (16 км до центра)",55.860261,37.442077,Планерная,4.0,6.2,unknown,панельные,1971.0,2.64,не угловая,unknown,81с5,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12040849/,raw,0.34,geo_recomputed,16.19,2.0,0.2,0.17,0.38,0.25,401128.6681715576,0.25,55.0,1.0,16,0,0
studio,9100000.0,22.0,0.0,6.0,16.0,"москва, ул. ленинградское шоссе, 229вк1 (25 км до центра)",55.93423,37.362109,Новоподрезково,8.0,2.0,евроремонт,"кирпичные, монолитно-каркасные",2002.0,2.68,не угловая,unknown,229вк1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12182182/,raw,0.69,geo_recomputed,25.69,7.61,1.52,0.86,1.52,0.61,413636.3636363637,0.375,24.0,1.0,17,0,0
all-kapotnya,20700000.0,77.2,3.0,1.0,8.0,"москва, ул. мячковский бульвар, 27 (17 км до центра)",55.650277,37.763638,Марьино,15.0,8.9,косметический ремонт,панельные,1995.0,2.64,не угловая,пассажирский,27,двор,наземный паркинг,есть,https://msk.etagi.com/realty/11696035/,raw,1.25,geo_recomputed,14.65,3.37,0.08,0.09,0.18,0.25,268134.71502590674,0.125,31.0,1.0,20,0,0
all-arbat,128000000.0,114.5,4.0,2.0,6.0,"москва, ул. переулок сивцев вражек, 12",55.747784,37.596579,Кропоткинская,7.0,70.0,без отделки,кирпич красный,1914.0,2.68,не угловая,unknown,12,детская площадка,unknown,нет,https://msk.etagi.com/realty/12041712/,raw,0.55,geo_recomputed,1.29,13.15,0.08,0.14,0.12,0.34,1117903.9301310044,0.3333333333333333,112.0,1.0,8,0,0
all,20600000.0,38.6,1.0,2.0,16.0,"москва, ул. бартеневская, 18к1 (24 км до центра)",55.54809,37.515407,Бунинская аллея,13.0,13.0,unknown,монолитно-кирпичный,2025.0,2.87,не угловая,unknown,18к1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/11883669/,raw,1.12,geo_recomputed,23.55,4.77,0.46,0.42,0.31,0.57,533678.7564766839,0.125,1.0,1.0,12,0,0
1k,14350000.0,30.5,1.0,4.0,5.0,"москва, ул. 2-я улица синичкина, 1/2",55.764232,37.708581,Лефортово,4.0,8.0,современный ремонт,крупноблочные,1960.0,2.68,не угловая,unknown,1/2,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/10505038/,raw,0.36,geo_recomputed,5.97,8.41,0.08,0.23,0.18,0.21,470491.8032786885,0.8,66.0,1.0,13,0,0
studio,12500000.0,21.6,0.0,19.0,24.0,"москва, ул. производственная, 17 (19 км до центра)",55.644476,37.383391,Новопеределкино,7.0,10.0,unknown,кирпичные,2002.0,2.7,не угловая,"грузовой, пассажирский",17,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12558401/,raw,0.61,geo_recomputed,18.85,3.65,0.34,0.25,0.59,0.75,578703.7037037037,0.7916666666666666,24.0,1.0,0,0,0
3k,17700000.0,62.8,3.0,3.0,12.0,"москва, ул. кировоградская, 32к3",55.607667,37.596255,Пражская,6.0,7.0,косметический ремонт,панельные,1972.0,2.64,не угловая,пассажирский,32к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12289415/,raw,0.53,geo_recomputed,16.12,3.29,0.19,0.31,0.81,0.16,281847.1337579618,0.25,54.0,1.0,9,0,0
all,3000000.0,34.9,1.0,12.0,12.0,"москва, ул. большая андроньевская, 20 (4 км до центра)",55.742027,37.670277,Курская,7.0,7.2,чистовая отделка,блочные,1972.0,2.64,не угловая,"пассажирский, грузовой",20,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12038339/,raw,0.62,geo_recomputed,3.6,10.74,0.16,0.07,0.32,0.15,85959.88538681949,1.0,54.0,1.0,8,0,0
all,52000000.0,87.4,3.0,40.0,55.0,"москва, ул. 4-я улица марьиной рощи, 12к2 (5 км до центра)",55.797928,37.625253,Марьина Роща,6.0,19.0,требует ремонта / частичный ремонт,монолитно-кирпичный,2024.0,3.1,не угловая,unknown,12к2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12498802/,raw,0.5,geo_recomputed,5.12,11.08,0.5,0.34,0.78,0.51,594965.6750572082,0.7272727272727273,2.0,1.0,19,0,0
2k,17500000.0,54.5,2.0,4.0,29.0,"проектируемый проезд № 219, карачарово, нижегородский район, москва, центральный федеральный округ, 109202, россия",55.736351,37.745034,Андроновка,10.0,13.0,черновая отделка,монолитно-кирпичный,2026.0,2.85,не угловая,unknown,5,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/7739887/,geo,0.85,geo_recomputed,8.29,6.01,0.15,0.17,0.4,0.42,321100.91743119265,0.1379310344827586,0.0,1.0,23,0,0
all,17000000.0,36.1,1.0,38.0,52.0,"москва, ул. борисовские пруды",55.637061,37.705666,Москворечье,13.0,18.1,черновая отделка,монолитно-каркасные,2026.0,2.85,не угловая,unknown,,двор,парковка во дворе,нет,https://msk.etagi.com/realty/9659861/,raw,1.1,geo_recomputed,13.99,4.89,0.62,0.38,0.63,0.13,470914.1274238227,0.7307692307692307,0.0,1.0,20,0,0
4k,75000000.0,185.4,5.0,22.0,22.0,"москва, ул. молодогвардейская, 15 (12 км до центра)",55.733173,37.427327,Рабочий Посёлок,12.0,20.0,евроремонт,монолитно-кирпичный,2002.0,2.68,не угловая,unknown,15,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/9865465/,raw,1.01,geo_recomputed,11.97,3.09,0.27,0.27,0.35,0.6,404530.7443365696,1.0,24.0,1.0,15,0,0
all,34450000.0,83.8,3.0,19.0,19.0,"москва, ул. погонный проезд, 3ак5",55.819752,37.701394,Белокаменная,14.0,31.0,ремонт по дизайн-проекту,монолитные,2012.0,3.08,угловая,"пассажирский, грузовой",3ак5,двор,unknown,нет,https://msk.etagi.com/realty/798868/,raw,1.14,geo_recomputed,9.23,6.17,0.45,0.11,0.07,0.12,411097.8520286397,1.0,14.0,1.0,23,0,0
all,17000000.0,37.0,2.0,5.0,9.0,"москва, ул. проспект маршала жукова, 26 (9 км до центра)",55.775839,37.481298,Народное Ополчение,3.0,7.5,требует ремонта / частичный ремонт,крупноблочные,2002.0,2.68,не угловая,unknown,26,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12157980/,raw,0.24,geo_recomputed,8.8,6.72,0.31,0.24,0.26,0.14,459459.45945945947,0.5555555555555556,24.0,1.0,10,0,0
all,54000000.0,155.5,3.0,24.0,48.0,"москва, ул. проспект маршала жукова, 78",55.780846,37.449147,Народное Ополчение,28.0,18.0,черновая отделка,монолитно-каркасные,2011.0,3.1,не угловая,"пассажирский, грузовой",78,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11679323/,raw,2.31,geo_recomputed,10.89,4.67,0.5,0.05,0.59,0.26,347266.8810289389,0.5,15.0,0.0,11,0,0
all-maryino,18700000.0,54.0,2.0,7.0,17.0,"москва, ул. перерва, 68/35",55.666487,37.769846,Люблино,15.0,9.0,косметический ремонт,панельные,2002.0,2.64,не угловая,"пассажирский, грузовой",68/35,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12463668/,raw,1.24,geo_recomputed,13.57,4.2,0.31,0.17,0.21,0.23,346296.2962962963,0.4117647058823529,24.0,1.0,20,0,0
all,26200000.0,52.0,2.0,7.0,22.0,"москва, ул. малая филёвская, 22 (19 км до центра)",55.736615,37.466009,Пионерская,1.0,9.0,евроремонт,монолитные,2018.0,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",22,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12619982/,raw,0.08,geo_recomputed,9.52,5.53,0.23,0.13,0.35,0.09,503846.1538461539,0.3181818181818182,8.0,1.0,15,0,0
all,15900000.0,44.7,2.0,1.0,9.0,"москва, ул. профсоюзная, 136к3",55.629582,37.50955,Коньково,8.0,6.0,косметический ремонт,панельные,2002.0,2.68,не угловая,unknown,136к3,двор,unknown,нет,https://msk.etagi.com/realty/12190501/,raw,0.65,geo_recomputed,15.17,2.04,0.21,0.25,0.51,0.31,355704.6979865772,0.1111111111111111,24.0,1.0,9,0,0
all,19300000.0,64.0,2.0,10.0,16.0,"вита экспресс, 8, скандинавский бульвар, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.564811,37.499004,Потапово,17.0,10.0,евроремонт,железо-бетон,2002.0,2.68,не угловая,unknown,8,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12148458/,geo,1.46,geo_recomputed,22.08,3.46,0.15,0.28,0.27,0.09,301562.5,0.625,24.0,0.0,12,0,0
all-moskvorechie-saburovo,18000000.0,33.0,0.0,14.0,28.0,"москва, ул. каширский проезд, 25к2 (11 км до центра)",55.654035,37.624391,Варшавская,4.0,6.0,unknown,монолитные,2002.0,3.0,не угловая,unknown,25к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12503086/,raw,0.32,geo_recomputed,10.93,8.74,0.66,0.5,0.28,0.23,545454.5454545454,0.5,24.0,1.0,3,0,0
all,16200000.0,42.0,1.0,4.0,14.0,"москва, ул. пырьева, 7а",55.573531,37.474776,Коммунарка,5.0,16.0,евроремонт,панельные,2002.0,2.64,не угловая,unknown,7а,двор,наземный паркинг,нет,https://msk.etagi.com/realty/9952196/,raw,0.42,geo_recomputed,21.74,3.41,0.39,0.29,0.48,0.35,385714.28571428574,0.2857142857142857,24.0,1.0,12,0,0
all,12500000.0,52.1,2.0,2.0,4.0,"1 к15, шоссе ракитки, квартал 125, филимонковский район, марьино, москва, центральный федеральный округ, 108821, россия",55.551313,37.340307,Филатов луг,82.0,9.0,современный ремонт,кирпич красный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10873884/,geo,6.84,geo_recomputed,28.24,11.64,1.04,0.63,0.82,1.5,239923.2245681382,0.5,24.0,0.0,7,0,0
all-sviblovo,31800000.0,59.2,2.0,7.0,19.0,"москва, ул. сельскохозяйственная, 37",55.854173,37.623564,Ботанический сад,17.0,19.0,unknown,монолитно-кирпичный,2021.0,2.8,не угловая,"грузовой, пассажирский",37,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12542717/,raw,1.39,geo_recomputed,11.35,4.95,0.51,0.12,0.75,0.19,537162.1621621621,0.3684210526315789,5.0,0.0,6,0,0
1k,23400000.0,39.5,1.0,10.0,21.0,"москва, ул. проезд невельского, 3к2",55.751979,37.697846,Москва Товарная,11.0,11.0,евроремонт,монолитно-кирпичный,2019.0,2.5,не угловая,"пассажирский, грузовой",3к2,двор,подземный паркинг,есть,https://msk.etagi.com/realty/10857622/,raw,0.93,geo_recomputed,5.15,9.05,0.31,0.42,0.34,0.37,592405.0632911392,0.4761904761904761,7.0,1.0,13,0,0
all-preobrazhenskoe,15700000.0,42.0,2.0,4.0,9.0,"москва, ул. халтуринская, 11",55.801642,37.725191,Преображенская площадь,11.0,7.0,косметический ремонт,кирпичные,1972.0,2.64,не угловая,"пассажирский, грузовой",11,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12468382/,raw,0.94,geo_recomputed,8.79,6.66,0.25,0.15,0.15,0.09,373809.5238095238,0.4444444444444444,54.0,1.0,23,0,0
all,24600000.0,61.3,3.0,3.0,32.0,"москва, ул. донецкая, 30к1",55.645476,37.707215,Курьяново,7.0,9.0,евроремонт,монолитные,2019.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10937977/,raw,0.59,geo_recomputed,13.18,5.49,0.7,0.34,0.44,0.24,401305.057096248,0.09375,7.0,1.0,20,0,0
2k,25100000.0,49.5,2.0,11.0,16.0,"москва, ул. велозаводская, 2к3 (5 км до центра)",55.714353,37.663997,Дубровка,10.0,8.0,unknown,кирпичные,2010.0,2.64,не угловая,"пассажирский, грузовой",2к3,двор,"наземный паркинг, парковка во дворе, подземный паркинг",есть,https://msk.etagi.com/realty/12181114/,raw,0.87,geo_recomputed,5.19,10.58,0.52,0.27,0.04,0.24,507070.70707070705,0.6875,16.0,1.0,2,0,0
all,29950000.0,89.0,3.0,5.0,31.0,"москва, ул. тагильская, 6/1к2 (10 км до центра)",55.814963,37.756209,Бульвар Рокоссовского,15.0,21.9,требует ремонта / частичный ремонт,монолитно-кирпичный,2026.0,2.4,не угловая,unknown,6/1к2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12547781/,raw,1.23,geo_recomputed,11.23,4.25,0.6,0.27,0.81,0.19,336516.8539325843,0.1612903225806451,0.0,1.0,23,0,0
all-vostochnii,7300000.0,38.0,1.0,2.0,17.0,"1, бульвар нестерова, микрорайон авиаторов, балашиха, городской округ балашиха, московская область, центральный федеральный округ, 143915, россия",55.824091,37.941541,Салтыковская,90.0,7.0,евроремонт,панельные,2010.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12426123/,geo,7.46,geo_recomputed,21.89,6.5,4.72,4.6,5.22,4.35,192105.26315789475,0.1176470588235294,16.0,0.0,21,0,0
1k,13050000.0,32.0,1.0,6.0,18.0,"москва, ул. берёзовая аллея, 19к1",55.849069,37.62422,Ботанический сад,12.0,9.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,"пассажирский, грузовой",19к1,двор,"подземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/11933479/,raw,0.98,geo_recomputed,10.78,5.5,0.57,0.28,0.31,0.2,407812.5,0.3333333333333333,24.0,1.0,1,0,0
all,7300000.0,21.0,0.0,4.0,5.0,"москва, ул. ткацкая, 46 (8 км до центра)",55.786627,37.74048,Измайлово,3.0,10.0,косметический ремонт,кирпич силикатный,2002.0,2.68,не угловая,unknown,46,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12389868/,raw,0.26,geo_recomputed,8.7,6.32,0.08,0.23,0.23,0.17,347619.04761904763,0.8,24.0,1.0,23,0,0
all,12500000.0,49.3,1.0,5.0,25.0,"вл1б, киевское шоссе, район коммунарка, москва, центральный федеральный округ, 119027, россия",55.626594,37.430543,Саларьево,7.0,5.3,черновая отделка,монолитно-кирпичный,2002.0,3.12,не угловая,пассажирский,к6,парковка,наземный паркинг,есть,https://msk.etagi.com/realty/9193266/,geo,0.6,geo_recomputed,18.16,2.27,1.33,1.14,1.68,0.55,253549.69574036513,0.2,24.0,1.0,9,0,0
all,43000000.0,59.9,2.0,2.0,5.0,"москва, ул. колодезная, 5",55.795444,37.695905,Преображенская площадь,13.0,11.8,евроремонт,кирпич силикатный,2000.0,3.1,не угловая,unknown,5,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12178865/,raw,1.11,geo_recomputed,6.95,8.4,0.06,0.42,0.24,0.27,717863.1051752921,0.4,26.0,1.0,13,0,0
all-danilovskii,30900000.0,39.3,1.0,20.0,20.0,"москва, ул. автозаводская, 26/1 (6 км до центра)",55.705853,37.631874,Тульская,9.0,15.0,ремонт по дизайн-проекту,монолитные,2002.0,4.2,не угловая,unknown,26/1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/8939581/,raw,0.72,geo_recomputed,5.25,12.46,0.66,0.57,0.46,0.09,786259.5419847328,1.0,24.0,1.0,2,0,0
2k,17800000.0,30.0,2.0,4.0,5.0,"москва, ул. кременчугская, 4к3",55.724185,37.45858,Славянский бульвар,12.0,6.0,unknown,кирпичные,1959.0,2.64,не угловая,unknown,4к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12484527/,raw,0.97,geo_recomputed,10.31,4.47,0.43,0.19,0.21,0.13,593333.3333333334,0.8,67.0,1.0,15,0,0
all,12490000.0,35.5,1.0,9.0,16.0,"москва, ул. рябиновая, 4 (13 км до центра)",55.718172,37.422943,Рабочий Посёлок,13.0,9.0,косметический ремонт,монолитные,1977.0,2.5,не угловая,пассажирский,4,двор,наземный паркинг,нет,https://msk.etagi.com/realty/729361/,raw,1.08,geo_recomputed,12.64,2.28,0.11,0.18,0.6,0.17,351830.9859154929,0.5625,49.0,1.0,15,0,0
all,12500000.0,39.5,1.0,21.0,25.0,"ecoplatform, улица бианки, первый московский, филимонковский район, московский, москва, центральный федеральный округ, 142784, россия",55.60194,37.366511,Филатов луг,31.0,10.7,требует ремонта / частичный ремонт,панельные,2002.0,2.7,не угловая,unknown,12к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10957420/,geo,2.59,geo_recomputed,22.87,7.15,0.3,0.21,0.5,0.67,316455.69620253163,0.84,24.0,0.0,5,0,0
studio,17150000.0,45.6,0.0,35.0,50.0,"москва, ул. михневская, 8 (16 км до центра)",55.579811,37.67131,Красный строитель,44.0,9.0,косметический ремонт,монолитные,2013.0,2.64,не угловая,грузовой,8,двор,подземный паркинг,есть,https://msk.etagi.com/realty/12163105/,raw,3.69,geo_recomputed,19.48,0.84,0.25,0.35,0.25,0.31,376096.49122807017,0.7,13.0,0.0,18,0,0
all,17800000.0,35.5,2.0,40.0,42.0,"улица борисовские пруды, район москворечье-сабурово, москва, центральный федеральный округ, 115211, россия",55.637398,37.706829,Москворечье,14.0,17.9,черновая отделка,монолитно-кирпичный,2025.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10565976/,geo,1.15,geo_recomputed,13.99,4.87,0.66,0.44,0.71,0.21,501408.45070422534,0.9523809523809524,1.0,1.0,20,0,0
2k,14000000.0,35.931585645972,2.0,10.0,20.0,"москва, ул. производственная, 19ак2 (20 км до центра)",55.644537615913336,37.3813150567769,Новопеределкино,6.911107354470728,8.015067665664812,черновая отделка,блочные+кирпич,2002.0,2.6802133970195943,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9574366/,raw,0.6041440982479296,geo_recomputed,19.23426254299158,3.6427285791900306,0.4690119761803953,0.3622980944814068,0.7646125811737512,0.8129918519669886,395480.2259887006,0.5,23.961009761413727,1.0094172463437265,0,1,1
1k,14990000.0,33.19551181727071,1.0,21.0,24.0,"москва, ул. производственная, 17 (19 км до центра)",55.64372646190541,37.38355214994507,Новопеределкино,6.983259175709656,15.103447847449486,черновая отделка,кирпичные,2002.0,2.6784326241307355,не угловая,"грузовой, пассажирский",17,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12438526/,raw,0.6633236831279342,geo_recomputed,19.718470013473738,3.585317581970998,0.32865340298576917,0.25563151741548445,0.6049456178715902,0.7544502768436916,452870.09063444106,0.875,23.983586343883108,0.9749989358215179,0,1,1
1k,10000000.0,33.67710347455189,1.0,5.0,5.0,"6/18, спортивная улица, пыхтино, внуково, москва, центральный федеральный округ, 119027, россия",55.61155286572671,37.302537307072484,Аэропорт Внуково,11.39255960377511,7.995572786243774,косметический ремонт,кирпичные,1960.0,2.80045513188515,не угловая,unknown,6/18,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10431537/,geo,1.0023079601682972,geo_recomputed,25.2983053532151,10.054302775072795,0.580011201611893,0.37966297850258546,0.4501542517500689,0.2788226617233574,295857.9881656805,1.0,66.07111538311824,0.9523129752007309,0,1,1
studio,10300000.0,22.50214362509942,0.0,5.0,19.0,"школа №2094, шоп №7, саларьевская улица, жк «саларьево парк», район коммунарка, москва, центральный федеральный округ, 142784, россия",55.612533884480285,37.41756670563567,Саларьево,14.34879938740961,4.9843901947502625,чистовая отделка,монолитные,2002.0,2.6194900057098764,не угловая,unknown,74.1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12432462/,geo,1.232298597626786,geo_recomputed,19.207522625224797,3.999637849298857,0.25197061918860353,0.36789236666429737,0.7799016132848322,1.382974676677481,459821.4285714286,0.2631578947368421,23.79995770727738,0.9378104969202613,0,1,1
all,12500000.0,21.25717323260135,0.0,12.0,24.0,"москва, ул. производственная, 17 (19 км до центра)",55.64306984851268,37.3835993743414,Новопеределкино,6.722233081405576,14.961696315274157,unknown,кирпичные,2002.0,2.681125397471813,не угловая,"грузовой, пассажирский",17,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/11904912/,raw,0.5709835530626169,geo_recomputed,18.076305972826578,3.570165319767075,0.3448974627145945,0.2382096980826007,0.6051652534914275,0.7484443964686619,578703.7037037037,0.5,24.019001347812733,0.9664784766103117,0,1,1
all,12400000.0,21.93470011092212,0.0,18.0,20.0,"москва, ул. производственная, 19ак2 (20 км до центра)",55.643379492247306,37.38114198250511,Новопеределкино,6.790578166203688,4.947527516020957,черновая отделка,блочные+кирпич,2002.0,2.679445810373738,не угловая,грузовой,19ак2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12620167/,raw,0.5745778660060795,geo_recomputed,19.930533642992142,3.735231061900251,0.4548779617875716,0.34929699168456885,0.7791934975250935,0.8532982128834071,563636.3636363636,0.9,23.954867634375283,0.98623974145182,0,1,1
3k,27900000.0,75.72184782216486,3.0,1.0,13.0,"ароматный мир, 10, улица малое понизовье, жк «саларьево парк», район коммунарка, москва, центральный федеральный округ, 108802, россия",55.60139713722751,37.41029579760731,Филатов луг,4.0479729072068125,16.93674039777035,ремонт по дизайн-проекту,панельные,2002.0,2.67943783844431,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11317473/,geo,0.29268353014220705,geo_recomputed,22.201597500972063,4.518857819590869,0.4933551141344377,0.20261635468665265,1.7790911163195149,2.246190911446772,368560.10568031704,0.0769230769230769,24.213583646351903,0.9912042524005371,0,1,1
all,15200000.0,58.08109007323731,2.0,5.0,18.0,"школа №2094, шоп №7, саларьевская улица, жк «саларьево парк», район коммунарка, москва, центральный федеральный округ, 142784, россия",55.611936077410924,37.416532606330556,Саларьево,14.592534425087972,19.954820217655435,предчистовая отделка,другое,2002.0,2.6804778449343547,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9040032/,geo,1.2442994955652078,geo_recomputed,19.842557750850364,3.8610656868485727,0.20272652202928618,0.3051799974659936,0.7381824191771639,1.2770902498035808,261617.90017211705,0.2777777777777778,23.979867981372525,1.0581169348728856,0,1,1
2k,15800000.0,34.87368144756585,2.0,10.0,20.0,"москва, ул. производственная, 19ак2 (20 км до центра)",55.644305891057655,37.38034799268159,Новопеределкино,6.920585863651729,8.996407140062718,без отделки,блочные+кирпич,2002.0,2.6806737003486596,не угловая,грузовой,19ак2,детская площадка,unknown,нет,https://msk.etagi.com/realty/11965342/,raw,0.5595331447360773,geo_recomputed,18.771698183148825,3.6885660327244523,0.46400979814443155,0.36586789854940555,0.7553223134938543,0.805377751335911,455331.4121037464,0.5,24.192785309859072,1.0331798010972189,0,1,1
1k,13500000.0,38.07569299243841,1.0,10.0,20.0,"10, бульвар андрея тарковского, жк «рассказово», район внуково, москва, центральный федеральный округ, 119634, россия",55.62505419356572,37.33956854749676,Рассказовка,11.428745338269401,11.416993054456333,требует ремонта / частичный ремонт,монолитные,2002.0,2.6803956930381982,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12083035/,geo,0.8762831205986074,geo_recomputed,23.256829364934692,6.957705897455656,1.242176362278392,0.42803292601731097,0.9962879911122849,1.0129189389004325,355263.15789473685,0.5,23.872422463595647,0.9711372665097512,0,1,1
2k,17500000.0,45.24678165366606,2.0,9.0,11.0,"фасоль, 7, бульвар андрея тарковского, жк «рассказово», район внуково, москва, центральный федеральный округ, 108850, россия",55.62722780034224,37.34372069927839,Рассказовка,10.88243288954973,11.00259967828395,евроремонт,монолитные,2002.0,2.67851153744599,не угловая,unknown,7,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12219481/,geo,0.9803804365774477,geo_recomputed,21.28868562244207,6.630857343020361,1.1490191283889928,0.17622577568567477,0.9433148677609628,1.0025566639196302,388026.60753880267,0.8181818181818182,24.06787923819619,1.0104312535735287,0,1,1
