source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
2k,42999999.0,52.0,2.0,3.0,22.0,"москва, ул. чкаловский бульвар, 6к1",55.814492,37.42209,Спартак,11.0,18.0,ремонт по дизайн-проекту,блочные+кирпич,2002.0,3.0,не угловая,unknown,6к1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10688785/,raw,0.92,geo_recomputed,13.94,1.96,0.53,0.77,0.37,1.06,826923.0576923077,0.1363636363636363,24.0,1.0,2,0,original,2
all-ivanovskoe,15990000.0,45.7,2.0,5.0,9.0,"москва, ул. чечулина, 22 (22 км до центра)",55.781534,37.832827,Первомайская,30.0,6.0,косметический ремонт,панельные,1977.0,2.64,не угловая,пассажирский,22,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12502071/,raw,2.53,geo_recomputed,13.97,0.58,0.23,0.1,0.45,0.13,349890.59080962796,0.5555555555555556,49.0,0.0,24,0,original,24
all,13500000.0,35.0,1.0,4.0,9.0,"москва, ул. москворечье, 33",55.645334,37.66088,Кантемировская,13.0,9.0,косметический ремонт,монолитные,1967.0,2.64,не угловая,грузовой,33,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10581038/,raw,1.07,geo_recomputed,12.22,7.35,0.16,0.25,0.27,0.09,385714.28571428574,0.4444444444444444,59.0,1.0,5,0,original,5
all,23500000.0,62.0,2.0,3.0,20.0,"москва, ул. родниковая, 30к3 (19 км до центра)",55.631803,37.419269,Саларьево,13.0,17.0,unknown,монолитные,2002.0,2.68,не угловая,грузовой,30к3,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12097695/,raw,1.05,geo_recomputed,18.18,2.54,0.75,0.28,1.01,0.37,379032.2580645161,0.15,24.0,1.0,3,0,original,3
1k,10000000.0,31.5,1.0,1.0,9.0,"москва, ул. широкая, 8к2",55.886766,37.651295,Медведково,8.0,5.0,требует ремонта / частичный ремонт,железобетонные панели,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/4414456/,raw,0.66,geo_recomputed,15.13,1.06,0.05,0.09,0.33,0.49,317460.31746031746,0.1111111111111111,24.0,1.0,9,0,original,9
all,28500000.0,73.0,3.0,22.0,24.0,"москва, ул. николая озерова, 2к1 (14 км до центра)",55.823677,37.433921,Тушинская,3.0,10.0,евроремонт,монолитные,2002.0,2.7,не угловая,unknown,2к1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11970011/,raw,0.28,geo_recomputed,13.86,2.52,0.53,0.43,0.35,0.2,390410.9589041096,0.9166666666666666,24.0,1.0,2,0,original,2
all,19900000.0,47.1,2.0,25.0,43.0,"москва, ул. строительный проезд, 9с1 (16 км до центра)",55.836676,37.422243,Трикотажная,18.0,10.0,без отделки,монолитные,2002.0,2.9,не угловая,unknown,9с1,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12499615/,raw,1.51,geo_recomputed,15.31,1.61,0.36,0.35,0.27,0.41,422505.30785562634,0.5813953488372093,24.0,0.0,2,0,original,2
studio,4200000.0,11.0,0.0,1.0,9.0,"москва, ул. родниковая, 18",55.634512,37.385762,Новопеределкино,7.0,3.0,косметический ремонт,панельные,2002.0,2.5,не угловая,"пассажирский, грузовой",18,двор,unknown,нет,https://msk.etagi.com/realty/12486715/,raw,0.59,geo_recomputed,19.46,4.12,0.29,0.2,0.42,0.12,381818.1818181818,0.1111111111111111,24.0,1.0,3,0,original,3
all,20000000.0,40.2,1.0,4.0,17.0,"москва, ул. краснобогатырская, 40 (8 км до центра)",55.808538,37.701592,Преображенская площадь,19.0,13.0,евроремонт,монолитные,2002.0,2.68,не угловая,unknown,40,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12427315/,raw,1.55,geo_recomputed,8.26,7.09,0.48,0.12,0.4,0.2,497512.43781094527,0.2352941176470588,24.0,0.0,7,0,original,7
all,48900000.0,107.7,3.0,21.0,22.0,"москва, ул. 2-я квесисская, 20к1",55.795261,37.574669,Савёловская,9.0,15.0,ремонт по дизайн-проекту,монолитные,2010.0,2.7,не угловая,unknown,20к1,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/9940868/,raw,0.79,geo_recomputed,5.43,11.71,0.27,0.13,0.09,0.26,454038.99721448467,0.9545454545454546,16.0,1.0,23,0,original,23
all-yuzhnoe-tushino,10500000.0,36.8,2.0,8.0,9.0,"москва, ул. фабрициуса, 33к5 (24 км до центра)",55.842661,37.427426,Сходненская,13.0,6.0,требует ремонта / частичный ремонт,блочные,1965.0,2.5,не угловая,"пассажирский, грузовой",33к5,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12304709/,raw,1.11,geo_recomputed,15.48,2.01,0.48,0.56,0.38,0.25,285326.0869565218,0.8888888888888888,61.0,1.0,2,0,original,2
3k,23999999.0,78.0,3.0,22.0,22.0,"москва, ул. новороссийская, 34 (16 км до центра)",55.669828,37.761581,Люблино,9.0,11.0,обычное состояние,панельные,2002.0,2.68,не угловая,"пассажирский, грузовой",34,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10945370/,raw,0.75,geo_recomputed,12.94,4.64,0.08,0.23,0.16,0.13,307692.2948717949,1.0,24.0,1.0,17,0,original,17
all-tverskoi,211000000.0,122.0,3.0,6.0,10.0,"москва, ул. большая грузинская, 69",55.77396,37.586293,Белорусская,3.0,43.5,unknown,монолитные,2008.0,3.5,не угловая,"пассажирский, грузовой",69,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12445805/,raw,0.28,geo_recomputed,3.04,12.97,0.27,0.14,0.11,0.13,1729508.1967213114,0.6,18.0,1.0,23,0,original,23
all,12500000.0,25.0,1.0,5.0,9.0,"4, мосрентген, москва, центральный федеральный округ, 108820, россия",55.622136,37.473671,Тютчевская,7.0,10.0,косметический ремонт,кирпичные,1974.0,2.64,не угловая,пассажирский,4,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12134630/,geo,0.61,geo_recomputed,16.98,0.28,0.24,0.12,0.3,0.19,500000.0,0.5555555555555556,52.0,1.0,3,0,original,3
2k,44000000.0,70.0,2.0,10.0,19.0,"москва, ул. никитинская, 10",55.799594,37.776973,Измайловская,16.0,5.0,unknown,монолитные,2002.0,3.0,не угловая,"пассажирский, грузовой",10,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12184524/,raw,1.33,geo_recomputed,11.39,3.95,0.35,0.26,0.24,0.15,628571.4285714285,0.5263157894736842,24.0,0.0,11,0,original,11
all,25000000.0,44.5,2.0,2.0,29.0,"москва, ул. аминьевское шоссе, 4дк3 (11 км до центра)",55.700106,37.468039,Аминьевская,1.0,17.0,косметический ремонт,кирпичные,2002.0,4.6,не угловая,unknown,4дк3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12048787/,raw,0.07,geo_recomputed,10.91,3.6,0.6,0.17,1.0,0.27,561797.7528089888,0.0689655172413793,24.0,1.0,0,0,original,0
all,15000000.0,38.3,1.0,5.0,22.0,"москва, ул. литовский бульвар, 5/10 (17 км до центра)",55.613778,37.535763,Ясенево,10.0,9.0,косметический ремонт,блочные,1964.0,2.68,не угловая,"пассажирский, грузовой",5/10,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12539395/,raw,0.86,geo_recomputed,16.19,2.43,0.25,0.31,0.36,0.14,391644.908616188,0.2272727272727272,62.0,1.0,15,0,original,15
all,21500000.0,59.3,2.0,24.0,29.0,"издание, нижегородский район, москва, центральный федеральный округ, 109202, россия",55.737149,37.748043,Андроновка,11.0,26.5,косметический ремонт,монолитно-кирпичный,2002.0,2.98,не угловая,unknown,21,двор,подземный паркинг,есть,https://msk.etagi.com/realty/12176188/,geo,0.92,geo_recomputed,8.46,5.83,0.27,0.2,0.27,0.41,362563.2377740304,0.8275862068965517,24.0,1.0,18,0,original,18
all,40000000.0,99.1,4.0,18.0,22.0,"москва, ул. филёвский бульвар, 7к1 (16 км до центра)",55.765215,37.488619,Мнёвники,14.0,10.0,ремонт по дизайн-проекту,панельные,1984.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10252421/,raw,1.17,geo_recomputed,8.08,7.47,0.14,0.12,0.63,0.06,403632.69424823415,0.8181818181818182,42.0,1.0,16,0,original,16
2k,25000000.0,57.3,2.0,14.0,23.0,"москва, ул. чоботовская, 2к2 (20 км до центра)",55.643242,37.359398,Новопеределкино,7.0,19.0,современный ремонт,монолитные,2021.0,2.64,не угловая,"пассажирский, грузовой",2к2,двор,"наземный паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/10820070/,raw,0.61,geo_recomputed,20.11,5.05,0.4,0.43,0.56,0.23,436300.17452006985,0.6086956521739131,5.0,1.0,3,0,original,3
all,40000000.0,69.5,2.0,3.0,25.0,"москва, ул. береговой проезд, 5ак2 (7 км до центра)",55.755495,37.509245,Фили,12.0,12.0,unknown,монолитно-кирпичный,2017.0,2.64,не угловая,"пассажирский, грузовой",5ак2,двор,подземный паркинг,есть,https://msk.etagi.com/realty/12160150/,raw,1.02,geo_recomputed,6.67,8.72,0.04,0.16,0.05,0.05,575539.5683453238,0.12,9.0,1.0,10,0,original,10
2k,45500000.0,70.4,2.0,2.0,32.0,"москва, ул. василия ланового, 7с1 (11 км до центра)",55.693058,37.479074,Мичуринский проспект,7.0,9.0,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,7с1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/11920036/,raw,0.6,geo_recomputed,10.79,4.04,0.72,0.84,0.3,0.52,646306.8181818181,0.0625,24.0,1.0,0,0,original,0
2k,33000000.0,62.0,2.0,25.0,37.0,"москва, ул. хорошёвское шоссе, 12к1",55.774993,37.550244,Беговая,4.0,14.0,ремонт по дизайн-проекту,монолитно-кирпичный,2010.0,2.75,не угловая,unknown,12к1,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/10657833/,raw,0.34,geo_recomputed,4.81,10.78,0.14,0.34,0.03,0.15,532258.0645161291,0.6756756756756757,16.0,1.0,23,0,original,23
1k,29999000.0,40.0,1.0,16.0,21.0,"москва, ул. проспект лихачёва, 16к1",55.688933,37.654376,Технопарк,11.0,10.8,евроремонт,монолитный железобетонный каркас,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10723233/,raw,0.91,geo_recomputed,7.44,10.99,0.85,0.13,0.58,0.79,749975.0,0.7619047619047619,24.0,1.0,5,0,original,5
1k,26990000.0,36.2,1.0,4.0,27.0,"москва, ул. шелепихинская набережная, 42к2",55.767479,37.50027,Хорошево,14.0,10.4,unknown,монолитные,2020.0,2.64,не угловая,unknown,42к2,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12061131/,raw,1.17,geo_recomputed,7.41,8.2,0.48,0.65,0.73,0.74,745580.1104972375,0.1481481481481481,6.0,1.0,16,0,original,16
all,26000000.0,68.0,3.0,4.0,47.0,"москва, ул. новодмитровская, 2к5 (6 км до центра)",55.803575,37.591036,Дмитровская,9.0,20.0,черновая отделка,монолитные,2017.0,2.64,не угловая,"грузовой, пассажирский, пассажирский и грузовой",2к5,двор,подземный паркинг,есть,https://msk.etagi.com/realty/12051781/,raw,0.77,geo_recomputed,5.92,10.91,0.19,0.34,0.01,0.37,382352.9411764706,0.0851063829787234,9.0,1.0,6,0,original,6
all,27900000.0,74.0,3.0,4.0,9.0,"ozon, 18 к3, улица эдварда грига, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.553574,37.506738,Потапово,12.0,13.0,unknown,монолитные,2002.0,2.68,не угловая,unknown,18к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12038528/,geo,1.0,geo_recomputed,23.12,4.42,0.32,0.14,0.02,0.87,377027.02702702704,0.4444444444444444,24.0,1.0,8,0,original,8
all,15800000.0,45.2,1.0,13.0,24.0,"москва, ул. перерва, 72",55.668361,37.77511,Люблино,15.0,10.0,евроремонт,монолитные,2004.0,2.7,не угловая,unknown,72,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12255623/,raw,1.25,geo_recomputed,13.67,3.84,0.22,0.23,0.31,0.08,349557.5221238938,0.5416666666666666,22.0,1.0,12,0,original,12
all,23990000.0,46.3,1.0,17.0,57.0,"москва, ул. ленинградское шоссе, 57с2 (17 км до центра)",55.865298,37.458849,Беломорская,13.0,10.0,чистовая отделка,монолитно-кирпичный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11998500/,raw,1.1,geo_recomputed,15.94,1.92,0.68,0.45,0.36,0.21,518142.54859611235,0.2982456140350877,24.0,1.0,21,0,original,21
all-preobrazhenskoe,55000000.0,110.0,3.0,3.0,16.0,"москва, ул. 1-я улица бухвостова, 2к3",55.79899,37.711326,Преображенская площадь,4.0,16.0,черновая отделка,монолитно-кирпичный,2002.0,3.2,не угловая,unknown,2к3,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12222086/,raw,0.33,geo_recomputed,7.93,7.46,0.27,0.27,0.27,0.21,500000.0,0.1875,24.0,1.0,7,0,original,7
2k,27300000.0,51.2,2.0,9.0,34.0,"москва, ул. новохохловская, 15к2",55.727775,37.712102,Новохохловская,6.0,16.4,современный ремонт,монолитные,2023.0,2.59,не угловая,unknown,15к2,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10825856/,raw,0.5,geo_recomputed,6.62,8.01,0.67,0.39,0.65,0.46,533203.125,0.2647058823529412,3.0,1.0,18,0,original,18
all-nizhegorodskii,11500000.0,21.7,0.0,4.0,16.0,"москва, ул. автомобильный проезд, 4",55.730193,37.697576,Калитники,6.0,6.0,чистовая отделка,монолитные,2002.0,3.0,не угловая,грузовой,4,двор,"подземный паркинг, парковка во дворе, наземный паркинг",нет,https://msk.etagi.com/realty/12535518/,raw,0.51,geo_recomputed,5.68,8.93,0.61,0.65,0.76,0.25,529953.9170506912,0.25,24.0,1.0,18,0,original,18
all,19400000.0,46.71,1.0,7.0,30.0,"москва, ул. южнопортовая, 21с52",55.700146,37.711356,Печатники,14.0,15.24,без отделки,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10735766/,raw,1.18,geo_recomputed,8.33,7.43,0.99,0.92,1.05,0.27,415328.623421109,0.2333333333333333,24.0,1.0,18,0,original,18
all-teplyi-stan,4600000.0,63.0,,12.0,12.0,"москва, ул. 26 бакинских комиссаров, 3к3 (18 км до центра)",55.655447,37.487829,Юго-Западная,11.0,10.0,косметический ремонт,unknown,1969.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/4388029/,raw,0.91,geo_recomputed,13.41,2.48,0.1,0.18,0.3,0.32,73015.87301587302,1.0,57.0,1.0,15,0,original,15
all,45000000.0,80.9,3.0,4.0,37.0,"москва, ул. шелепихинская набережная, 34к1 (7 км до центра)",55.760965,37.513565,Шелепиха,10.0,20.0,черновая отделка,монолитные,2018.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/7865427/,raw,0.84,geo_recomputed,6.46,9.05,0.29,0.15,0.58,0.67,556242.2744128554,0.1081081081081081,8.0,1.0,10,0,original,10
all,20750000.0,75.0,3.0,6.0,17.0,"москва, метро пыхтино в 5 минутах пешком от дома. район с московской инфраструктурой. трехкомнатная квартира распашонка, с изолированными комнатами, окна выходят на обе стороны дома: на пыхтинский пруд, солнечная сторона и во двор на площадку. в квартире есть три полноценные жилые комнаты. сделан косметический ремонт, скромный. есть кладовка около 2 кв.м. на кухне есть вся необходимая мебель. вся мебель по договоренности остается новым владельцам. оптимальный! 6 этаж, облагороженная входная группа, подъезд украшен цветами. интеллигентные соседи. ответственная управляющая компания. дом расположен в живописном районе, пруд с облагороженной зоной для прогулок и пикников на берегу, очень красиво. во дворе дома современная детская площадка. в шаговой доступности школа, детсад, сетевые магазины, поликлиника и многое другое. удобный выезд на авто, на боровское и киевское шоссе. 3 взрослых собственника, семья, все будут на сделке. более 5 лет в собственности. полная стоимость в договоре.",55.620662,37.304878,Пыхтино,8.0,11.3,современный ремонт,панельные,2012.0,2.64,не угловая,"пассажирский, грузовой",13,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12090801/,raw,0.65,geo_recomputed,24.36,9.26,0.26,0.18,0.44,0.45,276666.6666666667,0.3529411764705882,14.0,1.0,19,0,original,19
2k,17350000.0,42.0,2.0,2.0,5.0,"москва, ул. волгоградский проспект, 50к2",55.706061,37.750748,Кузьминки,9.0,9.0,современный ремонт,кирпично-панельные,2002.0,2.68,не угловая,unknown,50к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/1914235/,raw,0.79,geo_recomputed,9.9,5.05,0.35,0.11,0.33,0.11,413095.2380952381,0.4,24.0,1.0,18,0,original,18
all,24000000.0,42.4,1.0,7.0,35.0,"москва, ул. фестивальная, 29 (15 км до центра)",55.858316,37.48004,Речной вокзал,6.0,10.0,unknown,монолитные,2022.0,3.03,не угловая,грузовой,29,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11872351/,raw,0.51,geo_recomputed,14.53,2.89,0.25,0.1,0.36,0.24,566037.7358490566,0.2,4.0,1.0,21,0,original,21
all-ramenki,54000000.0,56.2,2.0,15.0,41.0,"москва, ул. 1-й сетуньский проезд, 8 (5 км до центра)",55.732479,37.541117,Студенческая,10.0,10.0,unknown,монолитные,2002.0,2.68,не угловая,unknown,8,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12564714/,raw,0.83,geo_recomputed,5.15,9.28,0.56,0.4,0.63,0.24,960854.0925266905,0.3658536585365853,24.0,1.0,10,0,original,10
all,52000000.0,70.0,2.0,10.0,19.0,"москва, ул. шелепихинская набережная, 34к1зд4 (7 км до центра)",55.761259,37.512631,Шелепиха,11.0,17.0,unknown,монолитные железо-керамзитно бетонные,2002.0,2.68,не угловая,unknown,34к1зд4,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12545171/,raw,0.91,geo_recomputed,6.52,8.99,0.24,0.18,0.58,0.68,742857.1428571428,0.5263157894736842,24.0,1.0,10,0,original,10
all-krukovo,12000000.0,42.2,1.0,13.0,17.0,"винлаб, 33 к2, георгиевский проспект, деревня каменка, район крюково, зеленоград, москва, центральный федеральный округ, 124365, россия",55.96735,37.15229,Крюково,23.0,16.0,ремонт по дизайн-проекту,панельные,2020.0,2.7,не угловая,"пассажирский, грузовой",33к2,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/557020/,geo,1.91,geo_recomputed,37.53,19.35,0.22,0.1,0.33,0.23,284360.1895734597,0.7647058823529411,6.0,0.0,14,0,original,14
all-aeroport,25750000.0,54.6,2.0,3.0,10.0,"москва, ул. волоколамское шоссе, 6",55.808306,37.5008,Сокол,11.0,6.0,косметический ремонт,панельные,1959.0,2.64,не угловая,unknown,6,двор,unknown,нет,https://msk.etagi.com/realty/12456930/,raw,0.95,geo_recomputed,9.51,6.93,0.28,0.43,0.13,0.23,471611.7216117216,0.3,67.0,1.0,16,0,original,16
all,50900000.0,127.0,3.0,30.0,33.0,"москва, ул. 1-й нагатинский проезд, 11к1",55.678707,37.634631,Нагатинская,11.0,19.8,unknown,газобетонные блоки (сибит),2002.0,2.68,не угловая,unknown,11к1,парковка,"парковка во дворе, подземный паркинг",нет,https://msk.etagi.com/realty/12226186/,raw,0.94,geo_recomputed,8.26,11.31,0.3,0.34,0.25,0.25,400787.4015748032,0.9090909090909092,24.0,1.0,5,0,original,5
all,49900000.0,120.0,3.0,3.0,24.0,"москва, ул. каховка, 37к1 (11 км до центра)",55.658622,37.563844,Зюзино,10.0,27.85,unknown,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10834903/,raw,0.84,geo_recomputed,10.9,6.67,0.3,0.28,0.1,0.16,415833.3333333333,0.125,24.0,1.0,15,0,original,15
4k,25850000.0,91.8,4.0,3.0,17.0,"москва, ул. привольная, 73к2 (17 км до центра)",55.679499,37.854755,Жулебино,7.0,10.2,современный ремонт,панельные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/4417935/,raw,0.58,geo_recomputed,17.02,1.29,0.17,0.09,0.16,0.16,281590.41394335515,0.1764705882352941,24.0,1.0,12,0,original,12
all,4999990.0,64.6,3.0,8.0,16.0,"москва, ул. обручева, 65/54 (12 км до центра)",55.650592,37.56344,Зюзино,11.0,12.0,косметический ремонт,панельные,1974.0,2.68,не угловая,"пассажирский, грузовой",65/54,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11944333/,raw,0.93,geo_recomputed,11.76,6.16,0.32,0.14,0.66,0.2,77399.22600619195,0.5,52.0,1.0,15,0,original,15
studio,14800000.0,18.5,0.0,24.0,30.0,"москва, ул. ильменский проезд, 12 (13 км до центра)",55.859595,37.545608,Селигерская,8.0,15.0,косметический ремонт,монолитные,2024.0,2.68,не угловая,unknown,12,детская площадка,unknown,нет,https://msk.etagi.com/realty/11848742/,raw,0.64,geo_recomputed,12.72,4.73,0.6,0.39,0.26,0.36,800000.0,0.8,2.0,1.0,21,0,original,21
all,8300000.0,19.9,0.0,4.0,4.0,"москва, ул. большая семёновская, 45 (6 км до центра)",55.781717,37.713468,Семеновская,5.0,4.0,unknown,кирпичные,2002.0,2.68,не угловая,unknown,45,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12405274/,raw,0.39,geo_recomputed,6.95,8.05,0.52,0.62,0.2,0.14,417085.4271356784,1.0,24.0,1.0,7,0,original,7
all,21000000.0,54.0,2.0,2.0,17.0,"москва, ул. хорошёвское шоссе, 62",55.778639,37.531792,Хорошевская,9.0,9.0,косметический ремонт,панельные,1983.0,2.64,не угловая,"пассажирский, грузовой",62,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12244748/,raw,0.79,geo_recomputed,6.01,9.55,0.17,0.08,0.04,0.06,388888.8888888889,0.1176470588235294,43.0,1.0,23,0,original,23
all,16200000.0,37.5,1.0,9.0,10.0,"москва, ул. тайнинская, 9к1",55.881631,37.6835,Медведково,19.0,24.0,unknown,монолитно-кирпичный,2022.0,2.6,не угловая,"пассажирский, грузовой",9к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12582609/,raw,1.55,geo_recomputed,15.0,1.46,0.37,0.3,0.37,0.47,432000.0,0.9,4.0,0.0,9,0,original,9
all-voikovskii,15450000.0,31.8,1.0,1.0,5.0,"москва, ул. 4-й войковский проезд, 3",55.82089,37.494503,Войковская,4.0,7.0,unknown,кирпичные,1958.0,2.64,не угловая,unknown,3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11882099/,raw,0.3,geo_recomputed,10.75,6.31,0.24,0.22,0.27,0.23,485849.0566037736,0.2,68.0,1.0,21,0,original,21
all-chertanovo-sever,17500000.0,37.5,1.0,6.0,25.0,"винлаб, битцевский проезд, северное чертаново, микрорайон северное чертаново, район чертаново северное, москва, центральный федеральный округ, 117648, россия",55.638551,37.590695,Чертановская,12.0,8.0,unknown,панельные,2002.0,2.68,не угловая,unknown,5кв,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12605048/,geo,0.99,geo_recomputed,12.73,6.32,0.49,0.19,0.62,0.07,466666.6666666667,0.24,24.0,1.0,5,0,original,5
all,17100000.0,27.0,0.0,7.0,32.0,"москва, ул. багратионовский проезд",55.740917,37.506926,Фили,7.0,3.0,черновая отделка,монолитные,2025.0,2.74,не угловая,грузовой,к7,двор,"наземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/12550409/,raw,0.6,geo_recomputed,6.92,8.01,0.38,0.35,0.31,0.23,633333.3333333334,0.21875,1.0,1.0,10,0,original,10
2k,79000000.0,50.3,2.0,3.0,6.0,"москва, ул. мансуровский переулок, 10с1а",55.740198,37.59427,Парк культуры,5.0,7.5,unknown,кирпич красный,1948.0,4.2,не угловая,пассажирский,10с1а,двор,парковка во дворе,нет,https://msk.etagi.com/realty/12190703/,raw,0.45,geo_recomputed,1.89,12.64,0.13,0.33,0.13,0.38,1570576.5407554673,0.5,78.0,1.0,20,0,original,20
2k,18000000.0,42.8,2.0,10.0,25.0,"москва, ул. верхние поля, 14к1 (15 км до центра)",55.661689,37.747406,Братиславская,4.0,10.0,евроремонт,панельные,2001.0,2.64,не угловая,"пассажирский, грузовой",14к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12219262/,raw,0.33,geo_recomputed,13.02,4.97,0.2,0.19,0.29,0.2,420560.7476635514,0.4,25.0,1.0,17,0,original,17
2k,19000000.0,46.9,2.0,13.0,45.0,"проектируемый проезд № 219, карачарово, нижегородский район, москва, центральный федеральный округ, 109202, россия",55.736077,37.742824,Андроновка,9.0,22.6,без стен,монолитно-кирпичный,2026.0,2.85,не угловая,unknown,1,двор,"наземный паркинг, подземный паркинг, гостевой паркинг, полуподземный паркинг",нет,https://msk.etagi.com/realty/9796701/,geo,0.77,geo_recomputed,8.16,6.15,0.21,0.24,0.53,0.34,405117.2707889126,0.2888888888888888,0.0,1.0,18,0,original,18
1k,17900000.0,34.4,1.0,3.0,37.0,"москва, ул. перовское шоссе, 21",55.736159,37.746552,Андроновка,11.0,6.0,евроремонт,монолитно-каркасные,2002.0,2.68,не угловая,пассажирский и грузовой,21,детская площадка,unknown,нет,https://msk.etagi.com/realty/12497357/,raw,0.94,geo_recomputed,8.39,5.91,0.13,0.09,0.3,0.48,520348.8372093023,0.081081081081081,24.0,1.0,18,0,original,18
all-vostochnoe-izmailovo,14200000.0,39.0,1.0,2.0,12.0,"москва, ул. 16-я парковая, 10",55.799628,37.826736,Первомайская,22.0,10.0,косметический ремонт,панельные,1966.0,2.64,не угловая,"пассажирский, грузовой",10,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12513249/,raw,1.81,geo_recomputed,14.22,0.83,0.08,0.31,0.49,0.09,364102.5641025641,0.1666666666666666,60.0,0.0,11,0,original,11
all-krylatskoe,24500000.0,73.3,3.0,6.0,22.0,"москва, ул. рублёвское шоссе, 70к1 (15 км до центра)",55.7688,37.375494,Крылатское,29.0,10.4,евроремонт,монолитные,2017.0,2.8,не угловая,"пассажирский, грузовой",70к1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12452009/,raw,2.44,geo_recomputed,15.14,0.37,0.11,1.07,0.95,0.18,334242.83765347884,0.2727272727272727,9.0,0.0,2,0,original,2
all,13000000.0,34.0,1.0,11.0,14.0,"34 к1, проспект куприна, квартал 195, посёлок подсобного хозяйства «воскресенское», район коммунарка, москва, центральный федеральный округ, 108814, россия",55.540669,37.456325,Новомосковская (Коммунарка),27.0,12.0,косметический ремонт,монолитные,2002.0,2.8,не угловая,пассажирский и грузовой,34к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12161888/,geo,2.26,geo_recomputed,25.56,7.08,1.01,0.24,1.42,0.81,382352.9411764706,0.7857142857142857,24.0,0.0,8,0,original,8
