source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster
all,12300000.0,29.5,1.0,1.0,9.0,"москва, ул. пулковская, 3к1",55.844223,37.481442,Водный стадион,8.0,5.9,косметический ремонт,кирпичные,1968.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10866105/,raw,0.7,geo_recomputed,13.23,4.43,0.2,0.35,0.4,0.08,416949.1525423729,0.1111111111111111,58.0,1,21
all,19500000.0,57.8,2.0,15.0,24.0,"москва, ул. тагильская, 6/5 (10 км до центра)",55.813551,37.753649,Бульвар Рокоссовского,13.0,18.4,без отделки,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10870418/,raw,1.12,geo_recomputed,11.0,4.47,0.64,0.29,0.75,0.36,337370.24221453286,0.625,24.0,1,11
all,20500000.0,35.7,1.0,25.0,32.0,"москва, ул. большая очаковская, 2",55.692024,37.467509,Аминьевская,7.0,17.1,современный ремонт,монолитно-кирпичный,2022.0,2.62,не угловая,"пассажирский, грузовой, пассажирский и грузовой",2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10870480/,raw,0.61,geo_recomputed,11.44,3.32,0.26,0.41,0.11,0.42,574229.6918767507,0.78125,4.0,1,0
all,21250000.0,51.0,3.0,5.0,9.0,"москва, ул. молдагуловой, 15к2",55.720646,37.830716,Выхино,12.0,6.0,евроремонт,панельные,2002.0,2.5,не угловая,"пассажирский, грузовой",15к2,двор,unknown,нет,https://msk.etagi.com/realty/10871856/,raw,1.01,geo_recomputed,13.92,0.52,0.11,0.16,0.59,0.31,416666.6666666667,0.5555555555555556,24.0,1,12
all,25000000.0,76.0,3.0,14.0,17.0,"москва, ул. братиславская, 31к1 (14 км до центра)",55.652684,37.76769,Братиславская,17.0,10.0,современный ремонт,панельные,1998.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10872607/,raw,1.39,geo_recomputed,14.6,3.35,0.3,0.2,0.21,0.35,328947.36842105264,0.8235294117647058,28.0,0,17
all,10000000.0,23.7,0.0,2.0,21.0,"москва, ул. востряковское шоссе, 7с1",55.661577,37.453908,Озёрная,11.0,4.0,современный ремонт,панельные,2002.0,2.64,не угловая,грузовой,7с1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10872768/,raw,0.96,geo_recomputed,14.29,1.09,0.57,0.49,0.87,0.46,421940.92827004223,0.0952380952380952,24.0,1,3
all,10800000.0,22.4,0.0,5.0,25.0,"москва, ул. монтажная (11 км до центра)",55.810454,37.772902,Щелковская,19.0,3.4,предчистовая отделка,другое,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10874249/,raw,1.59,geo_recomputed,11.78,3.91,0.32,0.43,0.49,0.12,482142.8571428571,0.2,24.0,0,11
all,50000000.0,51.0,1.0,1.0,9.0,"москва, ул. большой власьевский переулок, 9",55.746025,37.590308,Смоленская,5.0,25.0,чистовая отделка,кирпичные,1997.0,2.68,не угловая,unknown,9,детская площадка,unknown,нет,https://msk.etagi.com/realty/10874381/,raw,0.45,geo_recomputed,1.73,12.71,0.17,0.16,0.03,0.23,980392.1568627452,0.1111111111111111,29.0,1,20
all,18000000.0,53.7,2.0,9.0,24.0,"москва, ул. родниковая, 30/1",55.631793,37.412047,Саларьево,15.0,11.6,евроремонт,монолитные,2020.0,2.64,не угловая,"пассажирский, грузовой",30/1,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/10874577/,raw,1.26,geo_recomputed,18.49,2.92,1.03,0.17,1.0,0.79,335195.53072625695,0.375,6.0,1,3
all,20950000.0,62.0,3.0,2.0,9.0,"москва, ул. бажова, 15к2 (10 км до центра)",55.837748,37.664033,Ростокино,4.0,6.0,современный ремонт,панельные,1968.0,2.64,не угловая,пассажирский,15к2,двор,наземный паркинг,есть,https://msk.etagi.com/realty/10878853/,raw,0.3,geo_recomputed,9.98,6.27,0.31,0.21,0.51,0.45,337903.22580645164,0.2222222222222222,58.0,1,9
all,48499000.0,117.0,4.0,10.0,28.0,"36,6, улица петра кончаловского, жилой квартал shagal, даниловский район, москва, центральный федеральный округ, 115191, россия",55.687172,37.640497,ЗИЛ,15.0,9.0,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,к2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10879806/,geo,1.27,geo_recomputed,7.4,11.75,0.63,0.14,1.25,0.83,414521.3675213675,0.3571428571428571,24.0,1,5
all,24200000.0,92.3,4.0,23.0,23.0,"москва, ул. анны ахматовой, 11к3",55.633572,37.328917,Рассказовка,3.0,25.0,черновая отделка,панельные,2020.0,2.8,угловая,unknown,11к3,двор,наземный паркинг,есть,https://msk.etagi.com/realty/10173958/,raw,0.28,geo_recomputed,22.29,7.25,0.22,0.24,0.89,0.26,262188.5157096425,1.0,6.0,1,19
all,31300000.0,73.3,3.0,2.0,17.0,"москва, ул. 1-я дубровская, 1к1",55.730208,37.668273,Пролетарская,2.0,10.2,косметический ремонт,панели железобетонные,1989.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10727933/,raw,0.17,geo_recomputed,4.1,10.73,0.16,0.2,0.08,0.04,427012.2783083219,0.1176470588235294,37.0,1,20
all,47900000.0,67.0,3.0,6.0,15.0,"москва, ул. новая дорога, 9 (6 км до центра)",55.77235,37.700783,Лефортово,11.0,13.5,косметический ремонт,сборно-монолитный железобетонный каркас,2022.0,3.0,не угловая,"пассажирский, грузовой",9,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10832761/,raw,0.89,geo_recomputed,5.78,8.9,0.36,0.19,0.27,0.7,714925.3731343284,0.4,4.0,1,7
all,49900000.0,120.0,3.0,3.0,24.0,"москва, ул. каховка, 37к1 (11 км до центра)",55.658622,37.563844,Зюзино,10.0,27.85,unknown,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10834903/,raw,0.84,geo_recomputed,10.9,6.67,0.3,0.28,0.1,0.16,415833.3333333333,0.125,24.0,1,15
all,9850000.0,21.8,0.0,3.0,23.0,"москва, ул. ленинский проспект, 158 (14 км до центра)",55.651289,37.482435,Тропарево,10.0,9.0,современный ремонт,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10837330/,raw,0.86,geo_recomputed,13.98,1.95,0.23,0.71,0.49,0.04,451834.86238532106,0.1304347826086956,24.0,1,15
all,12550000.0,38.5,1.0,8.0,25.0,"москва, ул. недорубова, 5",55.700111,37.929988,Некрасовка,5.0,9.0,предчистовая отделка,панельные,2015.0,2.64,не угловая,"пассажирский, грузовой",5,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10838481/,raw,0.38,geo_recomputed,20.52,5.96,0.25,0.12,0.15,0.22,325974.02597402595,0.32,11.0,1,4
all,14500000.0,33.3,1.0,9.0,12.0,"москва, ул. болотниковская, 6кб (11 км до центра)",55.657022,37.612317,Варшавская,7.0,7.0,косметический ремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,6кб,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10844276/,raw,0.61,geo_recomputed,10.59,8.75,0.09,0.2,0.39,0.23,435435.43543543544,0.75,24.0,1,5
all,17000000.0,38.5,2.0,7.0,14.0,"москва, ул. фрязевская, 15к3",55.747434,37.827059,Новогиреево,8.0,6.2,косметический ремонт,панельные,2002.0,2.5,не угловая,"пассажирский, грузовой",15к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10844379/,raw,0.64,geo_recomputed,13.24,0.92,0.34,0.18,0.35,0.26,441558.4415584415,0.5,24.0,1,24
all,40000000.0,86.2,3.0,13.0,55.0,"москва, ул. 4-я улица марьиной рощи, 10к3",55.797832,37.625379,Марьина Роща,6.0,20.2,чистовая отделка,монолитный железобетонный каркас,2025.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10846935/,raw,0.51,geo_recomputed,5.11,11.09,0.5,0.35,0.79,0.5,464037.1229698376,0.2363636363636363,1.0,1,1
all,18500000.0,43.0,2.0,3.0,5.0,"москва, ул. архитектора власова, 11к4 (11 км до центра)",55.677895,37.555759,Профсоюзная,5.0,5.5,косметический ремонт,кирпичные,1960.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10851264/,raw,0.43,geo_recomputed,9.07,7.43,0.13,0.07,0.55,0.29,430232.5581395349,0.6,66.0,1,15
all,22000000.0,44.0,2.0,6.0,10.0,"москва, ул. гарибальди, 13к1",55.676275,37.539401,Новые Черемушки,14.0,6.0,евроремонт,кирпич полнотельный,1959.0,2.68,не угловая,unknown,13к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/10851977/,raw,1.17,geo_recomputed,9.7,6.47,0.22,0.25,0.14,0.32,500000.0,0.6,67.0,1,15
all,55000000.0,118.1,3.0,3.0,30.0,"москва, ул. малая юшуньская, 3 (10 км до центра)",55.654625,37.591476,Каховская,4.0,37.5,ремонт по дизайн-проекту,монолитные,2011.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10766337/,raw,0.37,geo_recomputed,10.95,7.88,0.2,0.25,0.29,0.2,465707.0279424217,0.1,15.0,1,5
all,54900000.0,68.5,3.0,3.0,6.0,"москва, ул. усачёва, 29к7",55.7227,37.5637,Спортивная,1.0,9.0,евроремонт,кирпичные,1928.0,2.64,не угловая,unknown,29к7,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10789199/,raw,0.11,geo_recomputed,4.62,10.11,0.26,0.28,0.1,0.21,801459.8540145985,0.5,98.0,1,10
all,19300000.0,37.0,2.0,1.0,5.0,"москва, ул. новорязанская, 31/7к5",55.772188,37.671346,Бауманская,6.0,9.0,современный ремонт,кирпич красный,1961.0,2.68,не угловая,unknown,31/7к5,детская площадка,unknown,нет,https://msk.etagi.com/realty/10790717/,raw,0.48,geo_recomputed,4.14,10.75,0.13,0.24,0.26,0.15,521621.6216216216,0.2,65.0,1,1
all,24000000.0,46.0,2.0,2.0,12.0,"москва, ул. большой рогожский переулок, 10к1 (4 км до центра)",55.742504,37.668462,Курская,6.0,9.0,косметический ремонт,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10792175/,raw,0.53,geo_recomputed,3.48,10.85,0.13,0.08,0.23,0.23,521739.1304347826,0.1666666666666666,24.0,1,20
all,15500000.0,38.9,1.0,5.0,12.0,"москва, ул. енисейская, 26",55.87139,37.666486,Бабушкинская,2.0,8.6,косметический ремонт,панельные,1981.0,2.64,не угловая,"пассажирский, грузовой",26,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10792579/,raw,0.16,geo_recomputed,13.63,2.66,0.21,0.18,0.58,0.19,398457.5835475579,0.4166666666666667,45.0,1,9
all,18200000.0,48.1,2.0,4.0,29.0,"издание, нижегородский район, москва, центральный федеральный округ, 109202, россия",55.737149,37.748042,Андроновка,11.0,15.1,чистовая отделка,монолитно-кирпичный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10801494/,geo,0.92,geo_recomputed,8.46,5.83,0.27,0.2,0.27,0.41,378378.37837837834,0.1379310344827586,24.0,1,18
all,13490000.0,44.3,2.0,2.0,9.0,"москва, ул. айвазовского, 5к1 (16 км до центра)",55.616564,37.541988,Ясенево,15.0,6.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,пассажирский,5к1,двор,гостевой паркинг,нет,https://msk.etagi.com/realty/10807113/,raw,1.27,geo_recomputed,15.77,2.87,0.3,0.21,0.67,0.16,304514.6726862303,0.2222222222222222,24.0,1,15
all,14250000.0,33.0,1.0,1.0,9.0,"москва, ул. открытое шоссе, 24к42 (11 км до центра)",55.821492,37.757548,Бульвар Рокоссовского,16.0,7.0,косметический ремонт,кирпичные,2002.0,2.64,не угловая,"пассажирский, грузовой",24к42,двор,unknown,нет,https://msk.etagi.com/realty/10809623/,raw,1.37,geo_recomputed,11.75,3.66,0.26,0.05,0.17,0.1,431818.1818181818,0.1111111111111111,24.0,0,11
all,19880000.0,29.9,0.0,29.0,46.0,"москва, ул. академика волгина, 2 (13 км до центра)",55.65625,37.523321,Калужская,13.0,5.0,современный ремонт,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10810655/,raw,1.05,geo_recomputed,12.14,4.4,0.41,0.41,0.18,0.09,664882.9431438127,0.6304347826086957,24.0,1,15
all,11500000.0,31.8,1.0,1.0,9.0,"москва, ул. солнечногорская, 23к2",55.862828,37.520123,Моссельмаш,5.0,5.2,требует ремонта / частичный ремонт,панельные,1963.0,2.5,не угловая,пассажирский,23к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10811632/,raw,0.4,geo_recomputed,13.67,3.49,0.26,0.34,0.14,0.43,361635.22012578615,0.1111111111111111,63.0,1,21
all,17000000.0,34.6,1.0,10.0,12.0,"москва, ул. большая андроньевская, 20 (4 км до центра)",55.742027,37.670277,Курская,7.0,7.2,косметический ремонт,блочные,1972.0,2.64,не угловая,"пассажирский, грузовой",20,двор,наземный паркинг,есть,https://msk.etagi.com/realty/10812257/,raw,0.62,geo_recomputed,3.6,10.74,0.16,0.07,0.32,0.15,491329.4797687861,0.8333333333333334,54.0,1,20
all,31000000.0,42.0,2.0,7.0,8.0,"москва, ул. новодевичий проезд, 4",55.728976,37.558688,Спортивная,9.0,9.0,современный ремонт,кирпичные,1962.0,2.64,не угловая,пассажирский,4,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10733619/,raw,0.76,geo_recomputed,4.4,10.09,0.3,0.18,0.25,0.29,738095.2380952381,0.875,64.0,1,10
all,13700000.0,34.0,1.0,19.0,24.0,"москва, ул. производственная, 25с1",55.642149,37.38189,Новопеределкино,4.0,15.9,без отделки,монолитно-кирпичный,2026.0,2.68,не угловая,unknown,25с1,детская площадка,unknown,нет,https://msk.etagi.com/realty/10734114/,raw,0.34,geo_recomputed,19.09,3.86,0.37,0.21,0.56,0.92,402941.17647058825,0.7916666666666666,0.0,1,3
all,19400000.0,46.71,1.0,7.0,30.0,"москва, ул. южнопортовая, 21с52",55.700146,37.711356,Печатники,14.0,15.24,без отделки,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10735766/,raw,1.18,geo_recomputed,8.33,7.43,0.99,0.92,1.05,0.27,415328.623421109,0.2333333333333333,24.0,1,18
all,15865322.0,43.0,1.0,26.0,33.0,"москва, ул. клинская, 2а (15 км до центра)",55.868991,37.501923,Грачёвская,5.0,11.5,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,2а,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10736040/,raw,0.45,geo_recomputed,14.8,2.33,0.58,0.29,0.61,0.25,368960.9767441861,0.7878787878787878,24.0,1,21
all,37999000.0,80.0,3.0,4.0,10.0,"москва, ул. 1-й красносельский переулок, 3",55.783245,37.668884,Митьково,4.0,10.0,евроремонт,монолитно-кирпичный,2002.0,2.85,не угловая,unknown,3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10738172/,raw,0.36,geo_recomputed,4.8,10.55,0.18,0.19,0.16,0.14,474987.5,0.4,24.0,1,1
all,19000767.0,53.0,1.0,5.0,33.0,"москва, ул. клинская, 2а (15 км до центра)",55.868991,37.501923,Грачёвская,5.0,15.5,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,2а,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10739172/,raw,0.45,geo_recomputed,14.8,2.33,0.58,0.29,0.61,0.25,358505.03773584904,0.1515151515151515,24.0,1,21
all,23218650.0,39.0,1.0,12.0,20.0,"москва, ул. кедрова, 16к3 (9 км до центра)",55.681037,37.572297,Академическая,8.0,10.0,чистовая отделка,панельные,2002.0,2.68,не угловая,unknown,16к3,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/10739190/,raw,0.68,geo_recomputed,8.36,8.49,0.16,0.14,0.29,0.22,595350.0,0.6,24.0,1,15
all,15700000.0,51.4,3.0,1.0,9.0,"москва, ул. рокотова, 8к2 (16 км до центра)",55.611109,37.549076,Новоясеневская,13.0,6.0,современный ремонт,железобетонные,2002.0,2.68,не угловая,пассажирский,8к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10741320/,raw,1.05,geo_recomputed,16.23,2.49,0.31,0.13,0.6,0.29,305447.47081712063,0.1111111111111111,24.0,1,15
all,13150000.0,36.6,1.0,1.0,5.0,"москва, ул. проезд аэропорта, 6 (13 км до центра)",55.797412,37.523339,Аэропорт,7.0,6.4,косметический ремонт,кирпичные,1958.0,2.64,не угловая,unknown,6,двор,наземный паркинг,есть,https://msk.etagi.com/realty/10743317/,raw,0.56,geo_recomputed,7.65,8.54,0.09,0.18,0.23,0.27,359289.6174863388,0.2,68.0,1,23
all,17740000.0,52.0,2.0,13.0,16.0,"москва, ул. печорская, 1",55.862894,37.673259,Бабушкинская,12.0,9.0,косметический ремонт,панели железобетонные,1983.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10750207/,raw,1.03,geo_recomputed,12.83,3.58,0.32,0.21,0.43,0.54,341153.8461538461,0.8125,43.0,1,9
all,34000000.0,67.1,2.0,26.0,28.0,"москва, ул. ореховый бульвар, 24к1 (18 км до центра)",55.613148,37.748466,Зябликово,3.0,18.5,без отделки,монолитные,2002.0,2.68,не угловая,unknown,24к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/10696356/,raw,0.24,geo_recomputed,17.56,1.11,0.41,0.29,0.24,0.17,506706.4083457526,0.9285714285714286,24.0,1,17
all,85000000.0,237.0,7.0,6.0,25.0,"москва, ул. можайское шоссе, 2",55.724271,37.44691,Кунцевская,8.0,52.0,ремонт по дизайн-проекту,панельные,1980.0,2.64,не угловая,"пассажирский, грузовой",2,двор,"подземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/10696671/,raw,0.67,geo_recomputed,11.01,3.89,0.19,0.29,0.06,0.23,358649.78902953584,0.24,46.0,1,0
all,22990000.0,41.0,2.0,4.0,5.0,"москва, ул. ленинградский проспект, 45к3",55.798475,37.532762,Аэропорт,3.0,17.6,unknown,кирпичные,2002.0,2.65,не угловая,unknown,45к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10701980/,raw,0.26,geo_recomputed,7.3,9.1,0.3,0.42,0.31,0.23,560731.7073170731,0.8,24.0,1,23
all,45500000.0,63.0,2.0,13.0,39.0,"москва, ул. поклонная, 9 (6 км до центра)",55.734334,37.525324,Парк Победы,7.0,10.0,косметический ремонт,монолитно-кирпичный,2002.0,3.2,не угловая,"пассажирский, грузовой",9,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10702370/,raw,0.55,geo_recomputed,5.99,8.53,0.25,0.28,0.38,0.15,722222.2222222222,0.3333333333333333,24.0,1,10
all,51999000.0,85.71,3.0,34.0,55.0,"москва, ул. 4-я улица марьиной рощи, 10к3",55.797832,37.625379,Марьина Роща,6.0,19.4,предчистовая отделка,монолитный железобетонный каркас,2025.0,2.68,не угловая,unknown,10к3,детская площадка,unknown,нет,https://msk.etagi.com/realty/10706358/,raw,0.51,geo_recomputed,5.11,11.09,0.5,0.35,0.79,0.5,606685.3342667134,0.6181818181818182,1.0,1,1
all,5400000.0,14.5,0.0,1.0,14.0,"москва, ул. ташкентская, 23к2 (20 км до центра)",55.700872,37.812767,Юго-Восточная,13.0,3.0,современный ремонт,блочные,1970.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10707009/,raw,1.11,geo_recomputed,13.6,1.11,0.08,0.27,0.24,0.46,372413.7931034483,0.0714285714285714,56.0,1,12
all,13400000.0,22.0,0.0,4.0,25.0,"москва, ул. рязанский проспект, 2/2к2 (8 км до центра)",55.727435,37.741333,Нижегородская,9.0,5.0,unknown,монолитные,2002.0,2.68,не угловая,unknown,2/2к2,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10707173/,raw,0.76,geo_recomputed,8.34,6.17,0.48,0.24,0.39,0.23,609090.9090909091,0.16,24.0,1,18
all,16600000.0,41.2,1.0,18.0,24.0,"москва, ул. флотская, 68к1",55.856528,37.510457,Моссельмаш,14.0,11.0,евроремонт,монолитные,2021.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10708221/,raw,1.18,geo_recomputed,13.33,3.81,0.3,0.34,0.49,0.19,402912.62135922327,0.75,5.0,1,21
all,26500000.0,63.0,2.0,15.0,19.0,"москва, ул. 2-й грайвороновский проезд, 44к2 (9 км до центра)",55.726487,37.747693,Стахановская,10.0,9.0,современный ремонт,монолитные,2021.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10710177/,raw,0.86,geo_recomputed,8.75,5.77,0.24,0.32,0.39,0.24,420634.92063492065,0.7894736842105263,5.0,1,18
all,21400000.0,50.3,2.0,10.0,33.0,"москва, ул. проезд стройкомбината, 1 (13 км до центра)",55.682904,37.446344,Очаково I,4.0,9.0,современный ремонт,монолитные железо-керамзитно бетонные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10710930/,raw,0.33,geo_recomputed,13.11,1.7,0.58,0.36,0.5,0.23,425447.31610337977,0.303030303030303,24.0,1,0
all,66000000.0,123.0,4.0,2.0,5.0,"москва, ул. большая садовая, 10 (2 км до центра)",55.76721,37.59339,Маяковская,4.0,23.0,требует ремонта / частичный ремонт,кирпичные,2002.0,4.0,не угловая,unknown,10,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10712775/,raw,0.34,geo_recomputed,2.17,13.62,0.36,0.14,0.15,0.12,536585.3658536585,0.4,24.0,1,23
all,35499000.0,65.9,2.0,7.0,42.0,"22а, севастопольский проспект, район котловка, москва, центральный федеральный округ, 113786, россия",55.678316,37.593327,Нагорная,15.0,23.0,ремонт по дизайн-проекту,монолитно-кирпичный,2023.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10660543/,geo,1.22,geo_recomputed,8.33,9.43,0.34,0.2,0.29,0.3,538679.817905918,0.1666666666666666,3.0,1,5
all,28000000.0,60.0,2.0,11.0,17.0,"москва, ул. ижорская, 6к6",55.882924,37.503783,Ховрино,14.0,21.6,чистовая отделка,монолитные,2022.0,2.7,не угловая,"пассажирский, грузовой",6к6,парковка,наземный паркинг,есть,https://msk.etagi.com/realty/10661518/,raw,1.14,geo_recomputed,16.13,1.07,0.62,0.57,0.78,0.47,466666.6666666667,0.6470588235294118,4.0,1,21
all,79000000.0,73.0,3.0,2.0,12.0,"москва, ул. сергея макеева, 9к2",55.760915,37.550208,Улица 1905 года,10.0,20.0,ремонт от строителей,монолитные,2017.0,2.64,не угловая,"пассажирский, грузовой",9к2,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10661805/,raw,0.83,geo_recomputed,4.2,11.34,0.3,0.09,0.21,0.53,1082191.7808219178,0.1666666666666666,9.0,1,10
all,40000000.0,80.0,3.0,6.0,22.0,"москва, ул. новаторов, 38к3 (15 км до центра)",55.661658,37.52086,Новаторская,12.0,10.3,с мебелью,панельные,2004.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10662487/,raw,1.02,geo_recomputed,11.69,4.6,0.24,0.17,0.32,0.22,500000.0,0.2727272727272727,22.0,1,15
all,50000000.0,82.0,3.0,4.0,12.0,"москва, ул. ленинградский проспект, 36с30",55.789406,37.569539,Петровский парк,8.0,14.0,ремонт по дизайн-проекту,монолитные,2019.0,2.64,не угловая,"пассажирский, грузовой",36с30,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10662877/,raw,0.71,geo_recomputed,5.04,11.55,0.32,0.28,0.14,0.23,609756.0975609756,0.3333333333333333,7.0,1,23
all,31680000.0,47.0,1.0,3.0,16.0,"москва, ул. архитектора щусева, 2к2",55.699106,37.634721,ЗИЛ,10.0,9.0,евроремонт,монолитные,2018.0,3.2,не угловая,"пассажирский, грузовой",2к2,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10663504/,raw,0.82,geo_recomputed,6.02,12.23,0.33,0.11,0.12,0.48,674042.5531914893,0.1875,8.0,1,20
all,16200000.0,57.5,3.0,6.0,9.0,"москва, ул. кронштадтский бульвар, 39к2",55.850343,37.505705,Коптево,18.0,4.0,требует ремонта / частичный ремонт,кирпичные,1968.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10664298/,raw,1.49,geo_recomputed,12.89,4.32,0.43,0.18,0.55,0.2,281739.1304347826,0.6666666666666666,58.0,0,21
all,26300000.0,75.1,3.0,11.0,16.0,"москва, ул. маршала катукова, 15к1",55.809651,37.406639,Строгино,8.0,10.5,косметический ремонт,панельные,1979.0,2.64,не угловая,"пассажирский, грузовой",15к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10664964/,raw,0.7,geo_recomputed,14.54,1.1,0.23,0.08,0.22,0.2,350199.7336884155,0.6875,47.0,1,2
all,48000000.0,78.4,2.0,3.0,25.0,"москва, ул. удальцова, 17к1",55.673128,37.513098,Новаторская,6.0,14.0,ремонт по дизайн-проекту,монолитно-кирпичный,2005.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10668006/,raw,0.5,geo_recomputed,10.89,4.9,0.19,0.24,0.12,0.31,612244.8979591837,0.12,21.0,1,15
all,15900000.0,39.9,1.0,8.0,14.0,"москва, ул. константина федина, 5",55.806874,37.792968,Щелковская,6.0,9.9,косметический ремонт,блоки железобетонные,2002.0,2.68,не угловая,unknown,5,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10668173/,raw,0.48,geo_recomputed,12.65,2.91,0.22,0.18,0.33,0.34,398496.24060150376,0.5714285714285714,24.0,1,11
all,34000000.0,78.1,3.0,8.0,35.0,"московское машиностроительное предприятие им. в. в. чернышёва, вишнёвая улица, тушино, район покровское-стрешнево, москва, центральный федеральный округ, 125362, россия",55.829664,37.437685,Тушинская,6.0,22.4,предчистовая отделка,монолитно-кирпичный,2002.0,2.75,не угловая,unknown,к1,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/10546021/,geo,0.47,geo_recomputed,14.07,2.63,0.53,0.46,0.48,0.17,435339.3085787452,0.2285714285714285,24.0,1,2
all,140000000.0,141.0,5.0,11.0,26.0,"27/5, улица пресненский вал, пресненский район, москва, центральный федеральный округ, 123557, россия",55.773403,37.573636,Белорусская,6.0,25.6,черновая отделка,"кирпичные, монолитно-каркасные",2002.0,3.1,не угловая,unknown,к2.1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10629772/,geo,0.53,geo_recomputed,3.53,12.23,0.28,0.46,0.2,0.32,992907.8014184396,0.4230769230769231,24.0,1,23
all,20250000.0,54.7,2.0,9.0,25.0,"москва, ул. ясеневая, 12к6 (19 км до центра)",55.600516,37.733105,Домодедовская,18.0,19.4,современный ремонт,панельные,2021.0,2.68,не угловая,"пассажирский, грузовой",12к6,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10629822/,raw,1.47,geo_recomputed,18.41,0.63,0.14,0.11,0.49,0.37,370201.09689213894,0.36,5.0,0,17
