source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,7887464.879965309,26.57348531403036,1.0,11.0,18.0,"Сусоколовский путепровод, Останкинский район, Москва, Центральный федеральный округ, 127427, Россия",55.839638491621166,37.601654180606715,Владыкино,12,5.004301256729663,unknown,панельные,1998.0,2.613438493947583,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,1.04,geo_recomputed,9.76,6.87,1.13,1.1,1.04,0.71,296817.10121031274,0.6111111111111112,28.0,1,6,1,geo_cluster_interpolation,6
all-alekseevskii,18608773.196720432,41.400416294055624,1.0,8.0,22.0,"23, 2-я Новоостанкинская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.8169267775154,37.62590076662749,ВДНХ,12,8.229331649482717,косметический ремонт,панельные,1994.0,2.646164051271438,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.98,geo_recomputed,7.23,8.99,0.1,0.13,0.24,0.29,449482.75554882106,0.3636363636363636,32.0,1,6,1,geo_cluster_interpolation,6
all,35850210.32665007,72.81985192488817,2.0,11.0,13.0,"29, улица Яблочкова, Бутырский район, Москва, Центральный федеральный округ, 127322, Россия",55.82278369113558,37.57965825389691,Фонвизинская,6,15.735858736535045,unknown,панели железобетонные,2004.0,2.5849333317360164,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.52,geo_recomputed,8.16,9.08,0.2,0.15,0.24,0.1,492313.69439790474,0.8461538461538461,22.0,1,6,1,geo_cluster_interpolation,6
all,35161910.552670576,67.16321308283626,2.0,5.0,14.0,"Детская стоматологическая поликлиника №39, улица Гончарова, Бутырский район, Москва, Центральный федеральный округ, 127254, Россия",55.81570243638413,37.58866556980732,Фонвизинская,9,19.48181952230945,евроремонт,кирпичные,2002.0,2.910549234416132,не угловая,unknown,,парковка,наземный паркинг,нет,synthetic,geo,0.79,geo_recomputed,7.26,9.66,0.27,0.22,0.28,0.5,523529.3092559965,0.3571428571428571,24.0,1,6,1,geo_cluster_interpolation,6
all,36606858.76713829,61.780229793489355,2.0,9.0,22.0,"Кольцевая дорога ВДНХ, ВДНХ, Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.831470452245526,37.63572044388825,ВДНХ,16,10.693186910527931,евроремонт,кирпичные,1990.0,2.905963792329772,,unknown,,unknown,unknown,,synthetic,geo,1.35,geo_recomputed,8.9,7.29,0.63,0.55,0.33,0.14,592533.5481836628,0.4090909090909091,36.0,0,6,1,geo_cluster_interpolation,6
all-marina-roshcha,27687254.307322655,63.93520459650611,2.0,4.0,14.0,"проектируемый проезд № 767, Бутырский район, Москва, Центральный федеральный округ, 127524, Россия",55.80688994836951,37.59301240575749,Дмитровская,9,11.449145938903149,без отделки,монолитно-кирпичный,2012.0,2.819820759780899,не угловая,"пассажирский, пассажирский и грузовой",,двор,unknown,нет,synthetic,geo,0.72,geo_recomputed,6.24,10.53,0.24,0.42,0.28,0.45,433051.7823796202,0.2857142857142857,14.0,1,6,1,geo_cluster_interpolation,6
all,14345890.89634947,34.74622110192036,1.0,16.0,19.0,"4, Ботаническая улица, Останкинский район, Москва, Центральный федеральный округ, 127427, Россия",55.836535574487414,37.59895534165083,Владыкино,15,5.2229550554838085,unknown,панельные,2009.0,2.746695459941197,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,1.27,geo_recomputed,9.44,7.25,0.75,0.84,0.66,0.44,412876.29104382225,0.8421052631578947,17.0,1,6,1,geo_cluster_interpolation,6
all,41351436.676328525,80.28710424441275,3.0,25.0,32.0,"4, Локомотивный проезд, Тимирязевский район, Москва, Центральный федеральный округ, 127238, Россия",55.83828200169476,37.577390770368325,Петровско-Разумовская,3,15.0477985205216,косметический ремонт,кирпичные,2008.0,2.771732159837978,не угловая,unknown,,двор,unknown,нет,synthetic,geo,0.21,geo_recomputed,9.87,7.51,0.18,0.16,0.72,0.04,515044.5649458856,0.78125,18.0,1,6,1,geo_cluster_interpolation,6
all,20021861.75324712,51.85892265517295,2.0,2.0,5.0,"6, Хованская улица, Жилой комплекс ""Посёлок космонавтов"", Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.82652500017398,37.62281379416325,ВДНХ,16,7.088517359021424,евроремонт,кирпичные,1960.0,2.723149029860906,,unknown,,unknown,unknown,,synthetic,geo,1.36,geo_recomputed,8.28,7.97,0.24,0.4,0.04,0.24,386083.2568076871,0.4,66.0,0,6,1,geo_cluster_interpolation,6
all-butyrskii,20275954.348130327,45.629139933829734,2.0,9.0,13.0,"1-я Останкинская улица, Останкино, Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.82409286752419,37.61835658753041,Останкино,14,7.996742358409104,unknown,железобетонные,1984.0,2.711510050706799,не угловая,unknown,,парковка,наземный паркинг,нет,synthetic,geo,1.2,geo_recomputed,8.0,8.29,0.4,0.12,0.35,0.11,444364.15802563936,0.6923076923076923,42.0,1,6,1,geo_cluster_interpolation,6
all-ostankinskii,25426038.382244036,56.82255404842496,2.0,16.0,27.0,"13, 2-я Новоостанкинская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.81495310644284,37.6222254855104,Останкино,14,13.071134101057174,косметический ремонт,монолитные,2002.0,2.7004835336499484,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,geo,1.19,geo_recomputed,6.99,9.24,0.28,0.25,0.18,0.19,447463.84262445534,0.5925925925925926,24.0,1,6,1,geo_cluster_interpolation,6
2k,25305475.5191994,65.04297299441252,3.0,4.0,40.0,"1 с6, улица Добролюбова, Бутырский район, Москва, Центральный федеральный округ, 127254, Россия",55.80829262311256,37.59340567035231,Дмитровская,9,17.521372061027968,евроремонт,монолитные,2019.0,2.65385048805503,не угловая,unknown,,двор,"наземный паркинг, подземный паркинг",нет,synthetic,geo,0.73,geo_recomputed,6.39,10.37,0.38,0.55,0.33,0.54,389057.7929359602,0.1,7.0,1,6,1,geo_cluster_interpolation,6
all,13743100.57470375,32.27587200744403,1.0,2.0,11.0,"8 с2, 12-й проезд Марьиной Рощи, район Марьина Роща, Москва, Центральный федеральный округ, 127521, Россия",55.80494520689678,37.618085308369224,Марьина Роща,6,5.546168168708306,черновая отделка,монолитные,1993.0,2.927028210297953,не угловая,"грузовой, пассажирский, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.46,geo_recomputed,5.87,10.39,0.53,0.34,0.27,0.1,425801.0619057503,0.1818181818181818,33.0,1,6,1,geo_cluster_interpolation,6
all,15285297.479516106,29.516480750456672,1.0,8.0,18.0,"Ботаническая улица, Останкинский район, Москва, Центральный федеральный округ, 127276, Россия",55.83832976592831,37.592294959944134,Владыкино,12,4.871295762419668,unknown,панели железобетонные,2011.0,2.557643603285165,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.99,geo_recomputed,9.69,7.19,0.79,0.69,0.74,0.5,517856.3667106423,0.4444444444444444,15.0,1,6,1,geo_cluster_interpolation,6
all,13622341.921387998,32.9373889731544,1.0,13.0,18.0,"Ботаническая улица, Останкинский район, Москва, Центральный федеральный округ, 127276, Россия",55.84090074236793,37.59133341534702,Владыкино,8,5.62019084553219,unknown,панельные,2009.0,2.6462277013105133,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.7,geo_recomputed,9.98,6.94,0.77,0.51,0.71,0.8,413582.9325296817,0.7222222222222222,17.0,1,6,1,geo_cluster_interpolation,6
all,13166947.466496931,35.96921418449558,1.0,5.0,8.0,"14, Улица Академика Комарова, район Марфино, Москва, Центральный федеральный округ, 127276, Россия",55.83015199574915,37.58925314369776,Фонвизинская,10,12.641463664864416,евроремонт,кирпичные,2002.0,2.916176385561024,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,geo,0.82,geo_recomputed,8.82,8.11,0.18,0.33,0.26,0.15,366061.5825233265,0.625,24.0,1,6,1,geo_cluster_interpolation,6
3k,22250534.669203904,61.520006823133734,2.0,5.0,11.0,"Северо-Восточная хорда, Останкинский район, Москва, Центральный федеральный округ, 127566, Россия",55.83782951511927,37.60409576223562,Владыкино,15,8.701767774949403,косметический ремонт,кирпичные,1984.0,2.8311830674261085,не угловая,unknown,,парковка,наземный паркинг,нет,synthetic,geo,1.29,geo_recomputed,9.55,7.02,1.08,1.05,0.98,0.58,361679.6521686487,0.4545454545454545,42.0,1,6,1,geo_cluster_interpolation,6
1k,15176022.686888022,35.11265366453086,1.0,5.0,7.0,"УВД по СВАО ГУ МВД России по г. Москве, Большая Марфинская улица, район Марфино, Москва, Центральный федеральный округ, 127276, Россия",55.83327943834953,37.59053466278947,Петровско-Разумовская,12,7.912760805205704,unknown,кирпичные,1971.0,2.576993356164548,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,1.01,geo_recomputed,9.15,7.76,0.24,0.22,0.22,0.21,432209.5057776314,0.7142857142857143,55.0,1,6,1,geo_cluster_interpolation,6
3k,32400322.66003103,107.6519572380112,3.0,9.0,10.0,"4А к2, улица Милашенкова, Бутырский район, Москва, Центральный федеральный округ, 127322, Россия",55.82473471522988,37.58896553257355,Фонвизинская,3,12.982387931112749,косметический ремонт,блочные,2007.0,2.7142406395134224,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.22,geo_recomputed,8.24,8.69,0.29,0.43,0.31,0.2,300972.90835498803,0.9,19.0,1,6,1,geo_cluster_interpolation,6
all,30308232.34510685,44.558784039544456,1.0,28.0,31.0,"Хованская улица, Жилой комплекс ""Посёлок космонавтов"", Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.82470132579975,37.62095896222531,ВДНХ,16,8.497274679771916,предчистовая отделка,монолитные,2011.0,2.6881691534031726,не угловая,грузовой,,двор,подземный паркинг,нет,synthetic,geo,1.36,geo_recomputed,8.07,8.19,0.24,0.16,0.2,0.09,680185.3551077447,0.9032258064516128,15.0,0,6,1,geo_cluster_interpolation,6
all,34876343.69144559,77.74189939320541,3.0,4.0,14.0,"1Б с14, Новомосковская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.813323256974925,37.61430729239117,Бутырская ,9,9.862254280869353,косметический ремонт,блочные,1992.0,2.828677315834012,не угловая,unknown,,двор,unknown,нет,synthetic,geo,0.72,geo_recomputed,6.8,9.52,0.25,0.65,0.44,0.38,448617.0773246345,0.2857142857142857,34.0,1,6,1,geo_cluster_interpolation,6
all,23812069.49700099,55.378540144520905,2.0,7.0,27.0,"улица Гончарова, Бутырский район, Москва, Центральный федеральный округ, 127254, Россия",55.81725858912659,37.584992886004336,Фонвизинская,8,11.602761732843152,черновая отделка,монолитные,2008.0,2.721213541620244,не угловая,"грузовой, пассажирский, пассажирский и грузовой",,двор,подземный паркинг,есть,synthetic,geo,0.64,geo_recomputed,7.48,9.56,0.13,0.09,0.32,0.35,429987.30979290593,0.2592592592592592,18.0,1,6,1,geo_cluster_interpolation,6
2k,30607574.782617345,48.39328655617506,1.0,6.0,31.0,"Новомосковская улица, Жилой комплекс ""Посёлок космонавтов"", Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.82293925384167,37.617383500469025,Останкино,13,12.50503944412666,unknown,монолитные,2012.0,2.674833382635467,,unknown,,unknown,unknown,,synthetic,geo,1.07,geo_recomputed,7.87,8.43,0.5,0.16,0.48,0.15,632475.6378570814,0.1935483870967742,14.0,1,6,1,geo_cluster_interpolation,6
2k,20897595.393860266,56.31554477130845,2.0,5.0,11.0,"29 к1, Дмитровское шоссе, Тимирязевский район, Москва, Центральный федеральный округ, 127343, Россия",55.82784207782984,37.57279103617029,Петровско-Разумовская,12,10.082970735695437,требует ремонта / частичный ремонт,панельные,1981.0,2.6710173718639862,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,geo,0.98,geo_recomputed,8.83,8.57,0.34,0.16,0.49,0.42,371080.4091254594,0.4545454545454545,45.0,1,6,1,geo_cluster_interpolation,6
all-butyrskii,15044343.333646867,35.153006180040386,1.0,4.0,9.0,"Институт физиологии растений им. К. А. Тимирязева, Ботаническая улица, район Марфино, Москва, Центральный федеральный округ, 127106, Россия",55.83974649322029,37.58631399336435,Петровско-Разумовская,9,5.909624933536389,unknown,монолитные,1968.0,4.13455124060142,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.75,geo_recomputed,9.91,7.16,0.63,0.53,0.68,0.62,427967.4761411709,0.4444444444444444,58.0,1,6,1,geo_cluster_interpolation,6
all,29398480.9661914,67.36047811425352,3.0,19.0,26.0,"31 с14, Калибровская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.80764797063856,37.62357368074191,Марьина Роща,10,10.224670764765357,чистовая отделка,монолитно-кирпичный,2025.0,3.0526771410377074,не угловая,"грузовой, пассажирский и грузовой",,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,geo,0.81,geo_recomputed,6.19,10.03,0.3,0.45,0.55,0.35,436435.1588527496,0.7307692307692307,1.0,1,6,1,geo_cluster_interpolation,6
all-otradnoe,17463727.09052002,29.348904859083856,1.0,12.0,28.0,"Фондовая оранжерея Главного ботанического сада, 4 с2, Ботаническая улица, Останкинский район, Москва, Центральный федеральный округ, 127427, Россия",55.83427451078653,37.59554379278059,Петровско-Разумовская,15,6.8338235964940255,косметический ремонт,другое,2013.0,2.8508651745455182,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,1.28,geo_recomputed,9.21,7.56,0.42,0.55,0.33,0.12,595038.4579721304,0.4285714285714285,13.0,1,6,1,geo_cluster_interpolation,6
all-marfino,13869502.457537118,36.738859044502064,1.0,2.0,6.0,"Алтуфьевское шоссе, район Марфино, Москва, Центральный федеральный округ, 127106, Россия",55.84455728504324,37.58408922630095,Владыкино,7,5.178011969158268,косметический ремонт,кирпичные,1961.0,4.33891922110011,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.57,geo_recomputed,10.46,6.71,0.17,0.14,0.13,0.33,377515.8733355568,0.3333333333333333,65.0,1,6,1,geo_cluster_interpolation,6
all,18289161.795209464,31.180527782314577,1.0,9.0,13.0,"Большая Марфинская улица, район Марфино, Москва, Центральный федеральный округ, 127276, Россия",55.832875585426265,37.59182490820648,Петровско-Разумовская,13,14.406460109047226,unknown,монолитно-заливные,1980.0,2.574578261457106,,unknown,,unknown,unknown,,synthetic,geo,1.1,geo_recomputed,9.09,7.77,0.19,0.29,0.14,0.16,586557.1590992432,0.6923076923076923,46.0,1,6,1,geo_cluster_interpolation,6
all,16261979.582658485,36.45346215054477,1.0,5.0,14.0,"Огородный проезд, Бутырский район, Москва, Центральный федеральный округ, 127521, Россия",55.80900282620528,37.60816800041992,Бутырская ,7,5.718607790123434,черновая отделка,монолитные,2002.0,2.941382691125281,не угловая,"грузовой, пассажирский, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.59,geo_recomputed,6.33,10.07,0.7,0.38,0.5,0.06,446102.47211911145,0.3571428571428571,24.0,1,6,1,geo_cluster_interpolation,6
3k,28126504.853276595,52.19023161263574,2.0,9.0,11.0,"2, Веткина улица, район Марьина Роща, Москва, Центральный федеральный округ, 127521, Россия",55.805245167912496,37.62042313888874,Марьина Роща,6,7.411354389690525,современный ремонт,кирпич красный,1978.0,2.6591727094007904,,unknown,,unknown,unknown,,synthetic,geo,0.5,geo_recomputed,5.91,10.33,0.5,0.49,0.41,0.23,538922.7827543671,0.8181818181818182,48.0,1,6,1,geo_cluster_interpolation,6
all,32222429.383308742,92.97976517329778,3.0,13.0,16.0,"ЗАО Асфальтобетон, Огородный проезд, Бутырский район, Москва, Центральный федеральный округ, 127474, Россия",55.81098713625945,37.60997139602618,Бутырская ,6,9.497058347493851,чистовая отделка,монолитно-кирпичный,2014.0,2.902483813278982,не угловая,"грузовой, пассажирский и грузовой",,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,geo,0.52,geo_recomputed,6.55,9.83,0.6,0.45,0.62,0.15,346553.1379139521,0.8125,12.0,1,6,1,geo_cluster_interpolation,6
all,17371607.734151572,24.599276506086117,1.0,22.0,28.0,"Огородный проезд, Бутырский район, Москва, Центральный федеральный округ, 127474, Россия",55.8156920749427,37.59921591823177,Останкино,4,14.75956590365167,unknown,монолитно-заливные,2012.0,2.6909953810506293,,unknown,,unknown,unknown,,synthetic,geo,0.32,geo_recomputed,7.13,9.48,0.31,0.17,0.41,0.36,706183.6851117818,0.7857142857142857,14.0,1,6,1,geo_cluster_interpolation,6
all,19174127.59566392,35.180274808574865,1.0,3.0,18.0,"Хлебокомбинат ""Fazer"", Калибровская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.81063054969173,37.62195354753587,Алексеевская,13,8.955610508452216,черновая отделка,монолитные,2002.0,2.897607368732632,не угловая,"грузовой, пассажирский, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,1.09,geo_recomputed,6.51,9.72,0.13,0.51,0.59,0.22,545024.9521925396,0.1666666666666666,24.0,1,6,1,geo_cluster_interpolation,6
1k,17980092.65889631,44.42114998430661,2.0,8.0,12.0,"Кольцевая дорога ВДНХ, ВДНХ, Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.8253858465267,37.63610944355376,ВДНХ,8,8.202425024754554,unknown,кирпичные,1968.0,2.6058147491328256,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.7,geo_recomputed,8.24,7.95,0.71,0.56,0.52,0.08,404764.2320211978,0.6666666666666666,58.0,1,6,1,geo_cluster_interpolation,6
2k,24227180.402867816,48.313734809304854,2.0,1.0,13.0,"2Б, улица Добролюбова, Бутырский район, Москва, Центральный федеральный округ, 127474, Россия",55.80645619727129,37.59864216969366,Бутырская ,10,9.36965567401992,ремонт по дизайн-проекту,монолитные,1997.0,2.8727287098038183,,unknown,,unknown,unknown,,synthetic,geo,0.81,geo_recomputed,6.13,10.48,0.52,0.34,0.38,0.56,501455.34180896834,0.0769230769230769,29.0,1,6,1,geo_cluster_interpolation,6
studio,15157310.565314502,36.833891269637235,1.0,7.0,12.0,"Арка Южного входа, Кольцевая дорога ВДНХ, ВДНХ, Останкинский район, Москва, Центральный федеральный округ, 129515, Россия",55.82802142373066,37.63050601420174,ВДНХ,14,6.216232897284657,современный ремонт,кирпичные,2002.0,3.0172997664090695,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,geo,1.13,geo_recomputed,8.48,7.72,0.52,0.55,0.07,0.21,411504.46077927464,0.5833333333333334,24.0,1,6,1,geo_cluster_interpolation,6
all,23464392.48698989,79.66836656572993,2.0,7.0,9.0,"31 с19, Ботаническая улица, Останкинский район, Москва, Центральный федеральный округ, 127276, Россия",55.8361539870162,37.58917871753825,Петровско-Разумовская,10,9.4869196920886,косметический ремонт,блоки железобетонные,1988.0,2.6789930545093186,,unknown,,unknown,unknown,,synthetic,geo,0.85,geo_recomputed,9.48,7.48,0.57,0.39,0.54,0.38,294525.83877982147,0.7777777777777778,38.0,1,6,1,geo_cluster_interpolation,6
studio,27307630.57285252,41.03805558353657,1.0,19.0,31.0,"улица Академика Королёва, Останкино, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия",55.82176726260744,37.61476730707183,Останкино,10,10.537129452261956,чистовая отделка,монолитный железобетонный каркас,2002.0,2.8267975497742075,не угловая,unknown,,парковка,подземный паркинг,нет,synthetic,geo,0.86,geo_recomputed,7.74,8.59,0.64,0.36,0.58,0.17,665422.135248719,0.6129032258064516,24.0,1,6,1,geo_cluster_interpolation,6
all-marfino,42513346.11845193,71.39408244304026,2.0,7.0,15.0,"Главная аллея, Жилой комплекс ""Посёлок космонавтов"", Останкинский район, Москва, Центральный федеральный округ, 129223, Россия",55.82773874194396,37.61660243889805,Останкино,17,15.605653693578208,без отделки,монолитно-заливные,2002.0,3.160629288998105,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,1.42,geo_recomputed,8.4,7.92,0.61,0.38,0.38,0.15,595474.3679543749,0.4666666666666667,24.0,0,6,1,geo_cluster_interpolation,6
all-ostankinskii,27589787.10270242,58.244073153013595,2.0,15.0,24.0,"9 с1, улица Годовикова, Останкинский район, Москва, Центральный федеральный округ, 129085, Россия",55.80675712514886,37.62397933732518,Марьина Роща,9,13.033925777476393,косметический ремонт,монолитные,2002.0,2.698783608114101,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,geo,0.73,geo_recomputed,6.09,10.12,0.39,0.48,0.57,0.42,473692.6112674333,0.625,24.0,1,6,1,geo_cluster_interpolation,6
all,21100555.012057185,26.656180873257636,1.0,17.0,23.0,"25 к1 с2, улица Дубовой Рощи, Останкинский район, Москва, Центральный федеральный округ, 127427, Россия",55.81925499690214,37.60375175198304,Останкино,3,15.99370852395458,unknown,монолитно-заливные,2000.0,2.6844345642754797,,unknown,,unknown,unknown,,synthetic,geo,0.23,geo_recomputed,7.49,9.02,0.6,0.52,0.6,0.58,791582.0766817336,0.7391304347826086,26.0,1,6,1,geo_cluster_interpolation,6
1k,15864275.571525006,33.86259287762604,1.0,10.0,10.0,"Останкинский мясоперерабатывающий комбинат, Огородный проезд, Бутырский район, Москва, Центральный федеральный округ, 127254, Россия",55.820364793812686,37.59603344809271,Фонвизинская,7,8.170898451368304,unknown,монолитные,2002.0,2.584044469888496,не угловая,"грузовой, пассажирский, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.57,geo_recomputed,7.68,9.03,0.33,0.42,0.28,0.17,468489.68798272306,1.0,24.0,1,6,1,geo_cluster_interpolation,6
all-marfino,27019306.184001353,48.7015212820282,2.0,10.0,33.0,"Кольцевая дорога ВДНХ, ВДНХ, Останкинский район, Москва, Центральный федеральный округ, 127273, Россия",55.83930753740209,37.61957999526876,Ботанический сад,15,7.639228465846448,косметический ремонт,кирпичные,1986.0,3.619236544098165,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,1.28,geo_recomputed,9.69,6.62,1.31,0.81,1.11,0.12,554793.8847235147,0.303030303030303,40.0,1,6,1,geo_cluster_interpolation,6
all-alekseevskii,12232111.15818576,43.72026166162934,2.0,8.0,17.0,"проспект Мира, Останкинский район, Москва, Центральный федеральный округ, 129366, Россия",55.821097526781465,37.64152515575308,ВДНХ,2,9.460695691906,косметический ремонт,панельные,1979.0,2.6708935126771927,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.17,geo_recomputed,7.83,8.38,0.37,0.38,0.36,0.15,279781.28888741654,0.4705882352941176,47.0,1,6,1,geo_cluster_interpolation,6
all-bogorodskoe,14725765.769828577,34.275903001732075,1.0,5.0,10.0,"77, Краснобогатырская улица, район Богородское, Москва, Центральный федеральный округ, 107258, Россия",55.80555402209325,37.70774634141806,Преображенская площадь,13,7.004900686941866,евроремонт,кирпичные,1973.0,2.6329263420820275,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,geo,1.09,geo_recomputed,8.27,7.07,0.19,0.25,0.27,0.18,429624.444003253,0.5,53.0,1,7,1,geo_cluster_interpolation,7
all,18186736.88191277,32.49117771696804,1.0,7.0,7.0,"Екатерининский дворец, 3/5, 1-й Краснокурсантский проезд, район Лефортово, Москва, Центральный федеральный округ, 111250, Россия",55.76162680260857,37.69492709779311,Лефортово,7,6.998092140930791,ремонт по дизайн-проекту,монолитные,2017.0,3.0193308784747357,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",нет,synthetic,geo,0.58,geo_recomputed,5.07,9.26,0.23,0.39,0.61,0.35,559743.8492484997,1.0,9.0,1,7,1,geo_cluster_interpolation,7
all,18618255.2342947,43.48998384706185,1.0,15.0,22.0,"19 с2, улица Преображенский Вал, Черкизово, район Преображенское, Москва, Центральный федеральный округ, 107061, Россия",55.79298085722432,37.71556081797435,Преображенская площадь,5,8.941794989581403,евроремонт,монолитные,2007.0,2.6718868302455197,не угловая,unknown,,двор,"парковка во дворе, подземный паркинг, наземный паркинг",нет,synthetic,geo,0.39,geo_recomputed,7.72,7.78,0.18,0.48,0.2,0.15,428104.4412379688,0.6818181818181818,19.0,1,7,1,geo_cluster_interpolation,7
all-bogorodskoe,27643309.399689157,63.851580788809216,2.0,6.0,14.0,"Дом чая, Ковылинский переулок, Черкизово, район Преображенское, Москва, Центральный федеральный округ, 107061, Россия",55.793115579952435,37.718995586932074,Преображенская площадь,6,17.41951152211622,черновая отделка,монолитные,1983.0,2.8606016115448103,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,geo,0.49,geo_recomputed,7.91,7.62,0.38,0.26,0.17,0.01,432930.69737960177,0.4285714285714285,43.0,1,7,1,geo_cluster_interpolation,7
2k,26527095.716892004,64.24986539820803,2.0,11.0,14.0,"улица Крузенштерна, Жилой комплекс «Символ», Квартал Смелость, район Лефортово, Москва, Центральный федеральный округ, 111024, Россия",55.7506624619631,37.7036999880192,Авиамоторная,10,10.58657355844537,без отделки,монолитно-кирпичный,1974.0,2.838662887525366,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.87,geo_recomputed,5.52,8.68,0.13,0.03,0.5,0.1,412873.95004615624,0.7857142857142857,52.0,1,7,1,geo_cluster_interpolation,7
all-lefortovo,32506954.452996463,52.00226237891904,1.0,8.0,16.0,"1-й Краснокурсантский проезд, район Лефортово, Москва, Центральный федеральный округ, 111250, Россия",55.758839288161994,37.69373426843972,Лефортово,10,13.174009930395156,unknown,монолитно-кирпичный,2016.0,2.871326142240208,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.84,geo_recomputed,4.94,9.33,0.25,0.28,0.49,0.07,625106.542790998,0.5,10.0,1,7,1,geo_cluster_interpolation,7
1k,13210970.904767953,36.8005122229564,1.0,3.0,4.0,"имени Моссовета, 12, Преображенская площадь, Черкизово, район Преображенское, Москва, Центральный федеральный округ, 107061, Россия",55.794100185352725,37.7141752360948,Преображенская площадь,3,11.23294190959164,unknown,кирпичные,1992.0,2.6948607608626927,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.25,geo_recomputed,7.73,7.74,0.25,0.49,0.21,0.14,358988.7777846435,0.75,34.0,1,7,1,geo_cluster_interpolation,7
all-lefortovo,16835902.8423044,45.426470128343325,2.0,3.0,10.0,"ЦИАМ им. Баранова, Энергетическая улица, район Лефортово, Москва, Центральный федеральный округ, 111116, Россия",55.7586340826936,37.71092265716559,Авиамоторная,9,8.983526551760065,косметический ремонт,блочные,1966.0,2.626743667075479,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,geo,0.78,geo_recomputed,6.01,8.25,0.04,0.16,0.26,0.08,370618.7778785795,0.3,60.0,1,7,1,geo_cluster_interpolation,7
